group,metric,arm_a_percent,saded_sm_percent,delta_pp,gate_threshold_pp,passed
overall,mAP50-95,7.256641086,8.796812212,1.540171126,0.300000000,true
overall,AP50,16.668524841,21.474424618,4.805899777,,
overall,AP75,5.750866693,6.375656011,0.624789318,-0.200000000,true
scale_ap50_95,AP-tiny-SBR,0.981149977,2.849148721,1.867998744,1.000000000,true
scale_ap50_95,AP-small-SBR,5.917289807,4.951659347,-0.965630460,,
scale_ap50_95,AP-medium-SBR,16.937079153,16.087555411,-0.849523742,,
scale_ap50_95,AP-large-SBR,14.639262318,14.596480711,-0.042781608,-0.500000000,true
scale_ap50,AP50-tiny-SBR,3.556424120,9.842975164,6.286551044,,
scale_ap50,AP50-small-SBR,16.899689925,14.312865426,-2.586824499,,
scale_ap50,AP50-medium-SBR,30.748243304,29.097066144,-1.651177160,,
scale_ap50,AP50-large-SBR,19.441598146,19.366524448,-0.075073698,,
scale_ap75,AP75-tiny-SBR,0.318031253,0.934907982,0.616876729,,
scale_ap75,AP75-small-SBR,3.088573505,2.548715365,-0.539858140,,
scale_ap75,AP75-medium-SBR,17.354687321,16.449362190,-0.905325132,,
scale_ap75,AP75-large-SBR,17.428857988,17.382314596,-0.046543393,,
recall,tiny_recall,22.251733806,38.973734691,16.722000885,2.000000000,true
counts,predictions,164283,164400,117,,
counts,tp,14811,19376,4565,,
counts,fp,141835,136326,-5509,,
counts,fn,23948,19383,-4565,,
counts,neutralized,7637,8698,1061,,
