arm,scale,iou,gt,predictions,tp,fp,fn,neutralized
A,tiny,0.5,27108,164283,6032,138485,21076,19766
A,tiny,0.55,27108,164283,4748,141127,22360,18408
A,tiny,0.6,27108,164283,3577,143650,23531,17056
A,tiny,0.65,27108,164283,2514,146193,24594,15576
A,tiny,0.7,27108,164283,1586,148648,25522,14049
A,tiny,0.75,27108,164283,901,150857,26207,12525
A,tiny,0.8,27108,164283,459,152877,26649,10947
A,tiny,0.85,27108,164283,174,154624,26934,9485
A,tiny,0.9,27108,164283,42,155970,27066,8271
A,tiny,0.95,27108,164283,3,156573,27105,7707
A,small,0.5,8719,164283,6118,139889,2601,18276
A,small,0.55,8719,164283,5549,142290,3170,16444
A,small,0.6,8719,164283,4918,144603,3801,14762
A,small,0.65,8719,164283,4145,146876,4574,13262
A,small,0.7,8719,164283,3272,149090,5447,11921
A,small,0.75,8719,164283,2406,151090,6313,10787
A,small,0.8,8719,164283,1468,152997,7251,9818
A,small,0.85,8719,164283,650,154662,8069,8971
A,small,0.9,8719,164283,168,155973,8551,8142
A,small,0.95,8719,164283,15,156573,8704,7695
A,medium,0.5,2897,164283,2641,138321,256,23321
A,medium,0.55,2897,164283,2585,141159,312,20539
A,medium,0.6,2897,164283,2498,143808,399,17977
A,medium,0.65,2897,164283,2381,146402,516,15500
A,medium,0.7,2897,164283,2201,148857,696,13225
A,medium,0.75,2897,164283,1935,150999,962,11349
A,medium,0.8,2897,164283,1541,152983,1356,9759
A,medium,0.85,2897,164283,1059,154672,1838,8552
A,medium,0.9,2897,164283,428,155983,2469,7872
A,medium,0.95,2897,164283,49,156574,2848,7660
A,large,0.5,35,164283,31,137568,4,26684
A,large,0.55,35,164283,30,140532,5,23721
A,large,0.6,35,164283,28,143323,7,20932
A,large,0.65,35,164283,27,146037,8,18219
A,large,0.7,35,164283,26,148595,9,15662
A,large,0.75,35,164283,25,150848,10,13410
A,large,0.8,35,164283,23,152899,12,11361
A,large,0.85,35,164283,21,154647,14,9615
A,large,0.9,35,164283,15,155977,20,8291
A,large,0.95,35,164283,4,156574,31,7705
SADED-SM,tiny,0.5,27108,164400,10565,133010,16543,20825
SADED-SM,tiny,0.55,27108,164400,8754,136181,18354,19465
SADED-SM,tiny,0.6,27108,164400,6910,139366,20198,18124
SADED-SM,tiny,0.65,27108,164400,5048,142705,22060,16647
SADED-SM,tiny,0.7,27108,164400,3411,145870,23697,15119
SADED-SM,tiny,0.75,27108,164400,2075,148733,25033,13592
SADED-SM,tiny,0.8,27108,164400,1039,151355,26069,12006
SADED-SM,tiny,0.85,27108,164400,410,153447,26698,10543
SADED-SM,tiny,0.9,27108,164400,99,154970,27009,9331
SADED-SM,tiny,0.95,27108,164400,7,155625,27101,8768
SADED-SM,small,0.5,8719,164400,6152,134339,2567,23909
SADED-SM,small,0.55,8719,164400,5572,137345,3147,21483
SADED-SM,small,0.6,8719,164400,4938,140311,3781,19151
SADED-SM,small,0.65,8719,164400,4165,143393,4554,16842
SADED-SM,small,0.7,8719,164400,3285,146311,5434,14804
SADED-SM,small,0.75,8719,164400,2414,148969,6305,13017
SADED-SM,small,0.8,8719,164400,1468,151475,7251,11457
SADED-SM,small,0.85,8719,164400,647,153483,8072,10270
SADED-SM,small,0.9,8719,164400,167,154973,8552,9260
SADED-SM,small,0.95,8719,164400,15,155625,8704,8760
SADED-SM,medium,0.5,2897,164400,2641,132805,256,28954
SADED-SM,medium,0.55,2897,164400,2585,136240,312,25575
SADED-SM,medium,0.6,2897,164400,2498,139529,399,22373
SADED-SM,medium,0.65,2897,164400,2381,142929,516,19090
SADED-SM,medium,0.7,2897,164400,2201,146082,696,16117
SADED-SM,medium,0.75,2897,164400,1935,148880,962,13585
SADED-SM,medium,0.8,2897,164400,1541,151463,1356,11396
SADED-SM,medium,0.85,2897,164400,1059,153493,1838,9848
SADED-SM,medium,0.9,2897,164400,428,154983,2469,8989
SADED-SM,medium,0.95,2897,164400,49,155626,2848,8725
SADED-SM,large,0.5,35,164400,31,132052,4,32317
SADED-SM,large,0.55,35,164400,30,135613,5,28757
SADED-SM,large,0.6,35,164400,28,139044,7,25328
SADED-SM,large,0.65,35,164400,27,142564,8,21809
SADED-SM,large,0.7,35,164400,26,145820,9,18554
SADED-SM,large,0.75,35,164400,25,148729,10,15646
SADED-SM,large,0.8,35,164400,23,151379,12,12998
SADED-SM,large,0.85,35,164400,21,153468,14,10911
SADED-SM,large,0.9,35,164400,15,154977,20,9408
SADED-SM,large,0.95,35,164400,4,155626,31,8770
