epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,516.671,1.37279,0.53846,0.33148,0.37074,0.35169,0.29363,0.16557,0.81937,0.51551,0.09507,0.000237853,0.000237853,0.000237853
2,1025.72,1.02916,0.47461,0.14135,0.46968,0.3713,0.34381,0.19664,0.78243,0.51968,0.08411,0.00046015,0.00046015,0.00046015
3,1533.29,0.98615,0.47136,0.13062,0.46196,0.39114,0.36153,0.20652,0.76708,0.50892,0.08403,0.000666739,0.000666739,0.000666739
4,2042.52,0.96329,0.47073,0.12114,0.48046,0.40623,0.38635,0.22576,0.74788,0.50833,0.07996,0.000643314,0.000643314,0.000643314
5,2542.04,0.93368,0.46712,0.11541,0.49918,0.41769,0.39821,0.2311,0.72625,0.51625,0.07487,0.000619752,0.000619752,0.000619752
6,3039.95,0.90755,0.46721,0.10679,0.50199,0.4312,0.41436,0.23936,0.73103,0.5064,0.07464,0.00059619,0.00059619,0.00059619
7,3538.25,0.89529,0.46464,0.1057,0.50482,0.43445,0.41641,0.24138,0.72673,0.51006,0.07398,0.000572628,0.000572628,0.000572628
8,4044.07,0.89619,0.46609,0.1046,0.52485,0.44266,0.42434,0.24962,0.70729,0.50694,0.07241,0.000549066,0.000549066,0.000549066
9,4553,0.88656,0.46028,0.10282,0.53171,0.44365,0.43669,0.25107,0.71782,0.50418,0.07163,0.000525504,0.000525504,0.000525504
10,5056.94,0.88095,0.45968,0.10005,0.53904,0.45483,0.44231,0.25802,0.69833,0.50136,0.07024,0.000501942,0.000501942,0.000501942
11,5558.91,0.86375,0.45954,0.09555,0.53453,0.45385,0.44453,0.26079,0.6907,0.50187,0.06933,0.00047838,0.00047838,0.00047838
12,6060.75,0.8458,0.46408,0.09331,0.53503,0.46098,0.44404,0.25655,0.70333,0.49693,0.07111,0.000454818,0.000454818,0.000454818
13,6557.82,0.84104,0.46127,0.09197,0.53363,0.47277,0.45153,0.25927,0.70875,0.49944,0.06927,0.000431256,0.000431256,0.000431256
14,7052.25,0.84196,0.45991,0.09113,0.54408,0.45974,0.44932,0.26202,0.69019,0.50268,0.06836,0.000407694,0.000407694,0.000407694
15,7553.58,0.84271,0.45907,0.09011,0.54558,0.47523,0.46058,0.27206,0.68354,0.49807,0.06814,0.000384132,0.000384132,0.000384132
16,8058.92,0.83136,0.4589,0.09158,0.53664,0.4728,0.45605,0.26664,0.68649,0.50703,0.06838,0.00036057,0.00036057,0.00036057
17,8569.05,0.82736,0.45891,0.08884,0.55665,0.47732,0.46858,0.2776,0.67478,0.49871,0.06737,0.000337008,0.000337008,0.000337008
18,9081.85,0.82142,0.45596,0.08605,0.55183,0.48102,0.46912,0.27701,0.67196,0.5032,0.06615,0.000313446,0.000313446,0.000313446
19,9585.12,0.81823,0.45456,0.08629,0.55663,0.49047,0.4733,0.27818,0.67742,0.49899,0.06641,0.000289884,0.000289884,0.000289884
20,10098.9,0.8076,0.45347,0.08558,0.56619,0.48559,0.47432,0.28185,0.66432,0.50066,0.06559,0.000266322,0.000266322,0.000266322
21,10586.9,0.69535,0.4751,0.06089,0.55904,0.4933,0.47861,0.28386,0.66268,0.50085,0.06512,0.00024276,0.00024276,0.00024276
22,11073.7,0.69642,0.47217,0.06072,0.56491,0.49288,0.48266,0.28672,0.65952,0.5013,0.0637,0.000219198,0.000219198,0.000219198
23,11562.5,0.69024,0.46976,0.05962,0.57431,0.49227,0.48303,0.28712,0.657,0.50156,0.06379,0.000195636,0.000195636,0.000195636
24,12048.1,0.67917,0.47098,0.05892,0.57468,0.49978,0.48813,0.28979,0.65702,0.49897,0.06425,0.000172074,0.000172074,0.000172074
25,12535.3,0.67806,0.46773,0.05845,0.585,0.50165,0.49146,0.2926,0.65498,0.49854,0.06454,0.000148512,0.000148512,0.000148512
26,13022.4,0.67413,0.46697,0.05704,0.57626,0.50205,0.49304,0.29494,0.65945,0.49746,0.06492,0.00012495,0.00012495,0.00012495
27,13511.7,0.6713,0.46524,0.05665,0.58545,0.49491,0.4963,0.29629,0.65291,0.49911,0.06404,0.000101388,0.000101388,0.000101388
28,13999.4,0.6642,0.46254,0.05575,0.57148,0.49943,0.49358,0.29353,0.65134,0.49955,0.06292,7.7826e-05,7.7826e-05,7.7826e-05
29,14485.4,0.65993,0.46009,0.05568,0.57795,0.50658,0.49806,0.29808,0.64943,0.49742,0.06343,5.4264e-05,5.4264e-05,5.4264e-05
30,14975.7,0.64936,0.45852,0.05411,0.5942,0.49665,0.50032,0.29999,0.64492,0.49827,0.06252,3.0702e-05,3.0702e-05,3.0702e-05
