class_id,class_name,precision_delta,recall_delta,f1_delta,ap50_delta,ap75_delta,map50_95_delta
0,pedestrian,0.02733089509421005,-0.016059922844620267,-0.001074723749030837,-0.00340335700063199,-0.0010729338434695146,-0.0012016897904492674
1,people,-0.031644640360177334,0.011030725731094149,-0.0036989592195814103,-0.008662313787361209,0.004848379800221153,-0.0023833231307683056
2,bicycle,-0.04530942959198969,0.016442849495391654,0.0009666358782027817,-0.0005037409826165185,0.007546771215098294,-0.001596708629761301
3,car,-0.0015801279541342028,0.004550625711035261,0.0013869488495793503,0.002320300310943213,0.005220853848583729,0.004469244248719195
4,van,0.03609755190416564,-0.020559759881697448,0.009306199858972963,-0.007922978593187469,-0.009657965691930726,-0.005474612501487952
5,truck,-0.018720272905366153,0.020473152973907838,0.002671689151184431,0.007858379103621138,0.007979473590223607,0.009090863626022516
6,tricycle,0.05259975750010759,-0.011968657176139763,0.014583745414204652,0.02085422429113626,0.010004760084232622,0.011482681192542837
7,awning-tricycle,-0.024982424263459813,-0.03249913647417291,-0.03156364475893475,-0.014552432838229656,0.00034260516342876635,-0.006089706083366925
8,bus,-0.04513889665579818,-0.031872509960159334,-0.037397334756273715,-0.02332334356146204,-0.030198454171723843,-0.012937471078335705
9,motor,0.009282035828086288,-0.0034793286942284007,0.002524668940951713,0.0035478043273193816,0.014873795300476611,0.006478773190533471
