epoch,control_precision,glgm_precision,control_recall,glgm_recall,control_ap50,glgm_ap50,control_map50_95,glgm_map50_95
1,0.37158,0.37074,0.35194,0.35169,0.29972,0.29363,0.17064,0.16557
2,0.44155,0.46968,0.38088,0.3713,0.35294,0.34381,0.20431,0.19664
3,0.50292,0.46196,0.4037,0.39114,0.38488,0.36153,0.22003,0.20652
4,0.49925,0.48046,0.41522,0.40623,0.39515,0.38635,0.23224,0.22576
5,0.49848,0.49918,0.42561,0.41769,0.40197,0.39821,0.2279,0.2311
6,0.51473,0.50199,0.44171,0.4312,0.423,0.41436,0.24848,0.23936
7,0.51679,0.50482,0.43884,0.43445,0.42142,0.41641,0.2446,0.24138
8,0.52816,0.52485,0.44773,0.44266,0.43125,0.42434,0.25275,0.24962
9,0.52498,0.53171,0.45479,0.44365,0.44086,0.43669,0.25603,0.25107
10,0.53808,0.53904,0.4621,0.45483,0.4506,0.44231,0.26477,0.25802
11,0.54867,0.53453,0.45937,0.45385,0.45536,0.44453,0.26936,0.26079
12,0.54526,0.53503,0.48032,0.46098,0.4614,0.44404,0.27223,0.25655
13,0.5431,0.53363,0.47345,0.47277,0.46051,0.45153,0.27044,0.25927
14,0.5604,0.54408,0.46495,0.45974,0.45881,0.44932,0.26927,0.26202
15,0.55339,0.54558,0.47816,0.47523,0.46848,0.46058,0.27695,0.27206
16,0.56133,0.53664,0.47842,0.4728,0.47172,0.45605,0.27961,0.26664
17,0.55959,0.55665,0.47528,0.47732,0.47098,0.46858,0.27769,0.2776
18,0.56546,0.55183,0.48008,0.48102,0.47679,0.46912,0.28084,0.27701
19,0.56397,0.55663,0.47933,0.49047,0.46966,0.4733,0.27744,0.27818
20,0.55443,0.56619,0.49588,0.48559,0.47837,0.47432,0.28167,0.28185
21,0.56925,0.55904,0.49293,0.4933,0.48273,0.47861,0.28544,0.28386
22,0.57462,0.56491,0.48669,0.49288,0.48661,0.48266,0.28679,0.28672
23,0.57758,0.57431,0.49502,0.49227,0.49119,0.48303,0.29383,0.28712
24,0.58892,0.57468,0.49113,0.49978,0.48742,0.48813,0.29199,0.28979
25,0.57258,0.585,0.49778,0.50165,0.49102,0.49146,0.29182,0.2926
26,0.59091,0.57626,0.49439,0.50205,0.49752,0.49304,0.29772,0.29494
27,0.58418,0.58545,0.49783,0.49491,0.4971,0.4963,0.29671,0.29629
28,0.591,0.57148,0.50039,0.49943,0.49969,0.49358,0.29801,0.29353
29,0.59998,0.57795,0.50185,0.50658,0.50278,0.49806,0.29979,0.29808
30,0.59465,0.5942,0.50169,0.49665,0.5026,0.50032,0.29953,0.29999
