mode,class_id,threshold,total,fdr,frequencycm,union,union_gain,fdr_rate,frequencycm_rate,union_rate,union_gain_rate
raw,0,0.5,8844,6758,6748,7259,501,0.7641338760741746,0.7630031659882406,0.8207824513794663,0.05664857530529172
raw,0,0.75,8844,3247,3246,3964,717,0.36714156490275895,0.36702849389416553,0.44821347806422435,0.0810719131614654
raw,1,0.5,5125,4022,3995,4292,270,0.7847804878048781,0.7795121951219512,0.8374634146341463,0.05268292682926829
raw,1,0.75,5125,1715,1658,2131,416,0.33463414634146343,0.32351219512195123,0.41580487804878047,0.08117073170731708
raw,2,0.5,1287,907,932,998,66,0.7047397047397047,0.7241647241647242,0.7754467754467754,0.05128205128205128
raw,2,0.75,1287,388,414,507,93,0.3014763014763015,0.32167832167832167,0.3939393939393939,0.07226107226107226
raw,3,0.5,14064,13136,13123,13431,295,0.9340159271899886,0.9330915813424346,0.9549914675767918,0.020975540386803184
raw,3,0.75,14064,10551,10562,11252,690,0.7502133105802048,0.750995449374289,0.800056882821388,0.04906143344709898
raw,4,0.5,1975,1842,1828,1887,45,0.9326582278481013,0.9255696202531646,0.9554430379746836,0.02278481012658228
raw,4,0.75,1975,1402,1408,1515,107,0.709873417721519,0.7129113924050633,0.7670886075949367,0.054177215189873416
raw,5,0.5,750,629,627,673,44,0.8386666666666667,0.836,0.8973333333333333,0.058666666666666666
raw,5,0.75,750,408,419,476,57,0.544,0.5586666666666666,0.6346666666666667,0.076
raw,6,0.5,1045,845,833,911,66,0.8086124401913876,0.7971291866028708,0.8717703349282296,0.06315789473684211
raw,6,0.75,1045,467,483,569,86,0.44688995215311006,0.46220095693779906,0.5444976076555024,0.08229665071770335
raw,7,0.5,532,440,420,470,30,0.8270676691729323,0.7894736842105263,0.8834586466165414,0.05639097744360902
raw,7,0.75,532,231,238,284,46,0.4342105263157895,0.4473684210526316,0.5338345864661654,0.08646616541353383
raw,8,0.5,251,205,204,214,9,0.8167330677290837,0.8127490039840638,0.852589641434263,0.035856573705179286
raw,8,0.75,251,161,156,169,8,0.6414342629482072,0.6215139442231076,0.6733067729083665,0.03187250996015936
raw,9,0.5,4886,4321,4304,4504,183,0.88436348751535,0.8808841588211216,0.9218174375767499,0.03745395006139992
raw,9,0.75,4886,2236,2198,2701,465,0.45763405648792466,0.4498567335243553,0.5528039295947605,0.09516987310683586
one_to_one,0,0.5,8844,6717,6705,7248,531,0.7594979647218453,0.7581411126187245,0.819538670284939,0.06004070556309362
one_to_one,0,0.75,8844,3241,3241,3960,719,0.3664631388511986,0.3664631388511986,0.44776119402985076,0.0812980551786522
one_to_one,1,0.5,5125,4011,3984,4290,279,0.7826341463414634,0.7773658536585366,0.8370731707317073,0.0544390243902439
one_to_one,1,0.75,5125,1711,1651,2129,418,0.3338536585365854,0.32214634146341464,0.41541463414634144,0.0815609756097561
one_to_one,2,0.5,1287,902,927,996,69,0.7008547008547008,0.7202797202797203,0.7738927738927739,0.053613053613053616
one_to_one,2,0.75,1287,386,414,505,91,0.2999222999222999,0.32167832167832167,0.3923853923853924,0.0707070707070707
one_to_one,3,0.5,14064,13104,13103,13425,321,0.931740614334471,0.9316695108077361,0.9545648464163823,0.022824232081911262
one_to_one,3,0.75,14064,10549,10561,11252,691,0.7500711035267349,0.7509243458475541,0.800056882821388,0.0491325369738339
one_to_one,4,0.5,1975,1841,1826,1887,46,0.9321518987341773,0.9245569620253165,0.9554430379746836,0.02329113924050633
one_to_one,4,0.75,1975,1401,1407,1515,108,0.7093670886075949,0.7124050632911393,0.7670886075949367,0.05468354430379747
one_to_one,5,0.5,750,629,627,673,44,0.8386666666666667,0.836,0.8973333333333333,0.058666666666666666
one_to_one,5,0.75,750,408,419,476,57,0.544,0.5586666666666666,0.6346666666666667,0.076
one_to_one,6,0.5,1045,845,831,911,66,0.8086124401913876,0.7952153110047847,0.8717703349282296,0.06315789473684211
one_to_one,6,0.75,1045,467,483,569,86,0.44688995215311006,0.46220095693779906,0.5444976076555024,0.08229665071770335
one_to_one,7,0.5,532,437,419,470,33,0.8214285714285714,0.7875939849624061,0.8834586466165414,0.06203007518796992
one_to_one,7,0.75,532,231,238,284,46,0.4342105263157895,0.4473684210526316,0.5338345864661654,0.08646616541353383
one_to_one,8,0.5,251,204,204,214,10,0.8127490039840638,0.8127490039840638,0.852589641434263,0.0398406374501992
one_to_one,8,0.75,251,160,155,169,9,0.6374501992031872,0.6175298804780877,0.6733067729083665,0.035856573705179286
one_to_one,9,0.5,4886,4311,4298,4503,192,0.8823168235775686,0.8796561604584527,0.9216127711829718,0.03929594760540319
one_to_one,9,0.75,4886,2234,2195,2700,466,0.4572247237003684,0.44924273434302087,0.5525992632009824,0.095374539500614
