mode,scale,threshold,total,fdr,frequencycm,union,union_gain,fdr_rate,frequencycm_rate,union_rate,union_gain_rate
raw,tiny,0.5,7036,4532,4513,4993,461,0.6441159749857874,0.6414155770324048,0.7096361569073337,0.06552018192154634
raw,tiny,0.75,7036,1371,1354,1838,467,0.19485503126776577,0.1924388857305287,0.2612279704377487,0.06637293916998295
raw,small,0.5,13516,11471,11474,12128,654,0.8486978395975141,0.8489197987570287,0.8973068955312222,0.04838709677419355
raw,small,0.75,13516,5878,5893,7138,1245,0.4348919798757029,0.43600177567327614,0.5281148268718556,0.09211305119857946
raw,medium,0.5,15795,14730,14663,15131,401,0.932573599240266,0.9283317505539728,0.9579613801836024,0.025387780943336498
raw,medium,0.75,15795,11321,11306,12311,990,0.7167458056346945,0.7157961380183603,0.7794238683127572,0.06267806267806268
raw,large,0.5,2412,2372,2364,2387,15,0.9834162520729685,0.9800995024875622,0.9896351575456053,0.006218905472636816
raw,large,0.75,2412,2236,2229,2281,45,0.9270315091210614,0.9241293532338308,0.9456882255389718,0.018656716417910446
one_to_one,tiny,0.5,7036,4509,4495,4984,475,0.6408470722001137,0.638857305287095,0.7083570210346788,0.0675099488345651
one_to_one,tiny,0.75,7036,1368,1352,1837,469,0.19442865264354747,0.19215463331438318,0.26108584422967596,0.06665719158612848
one_to_one,small,0.5,13516,11418,11428,12122,694,0.8447765611127552,0.8455164249778041,0.896862977212193,0.05134655223438887
one_to_one,small,0.75,13516,5870,5886,7134,1248,0.43430008878366383,0.43548387096774194,0.5278188813258361,0.0923350103580941
one_to_one,medium,0.5,15795,14702,14638,15124,422,0.9308008863564419,0.9267489711934156,0.9575182019626464,0.026717315606204495
one_to_one,medium,0.75,15795,11314,11297,12307,993,0.7163026274137385,0.7152263374485597,0.7791706236150681,0.06286799620132953
one_to_one,large,0.5,2412,2372,2363,2387,15,0.9834162520729685,0.9796849087893864,0.9896351575456053,0.006218905472636816
one_to_one,large,0.75,2412,2236,2229,2281,45,0.9270315091210614,0.9241293532338308,0.9456882255389718,0.018656716417910446
