grouping,group,threshold,total,both,fdr_only,frequencycm_only,neither
overall,overall,0.5,38759,31349,1652,1575,4183
overall,overall,0.75,38759,18000,2788,2764,15207
scale,tiny,0.5,7036,4032,477,463,2064
scale,tiny,0.75,7036,884,484,468,5200
scale,small,0.5,13516,10745,673,683,1415
scale,small,0.75,13516,4623,1247,1263,6383
scale,medium,0.5,15795,14224,478,414,679
scale,medium,0.75,15795,10309,1005,988,3493
scale,large,0.5,2412,2348,24,15,25
scale,large,0.75,2412,2184,52,45,131
class,0,0.5,8844,6197,520,508,1619
class,0,0.75,8844,2524,717,717,4886
class,1,0.5,5125,3709,302,275,839
class,1,0.75,5125,1235,476,416,2998
class,2,0.5,1287,835,67,92,293
class,2,0.75,1287,295,91,119,782
class,3,0.5,14064,12788,316,315,645
class,3,0.75,14064,9858,691,703,2812
class,4,0.5,1975,1782,59,44,90
class,4,0.75,1975,1294,107,113,461
class,5,0.5,750,583,46,44,77
class,5,0.75,750,351,57,68,274
class,6,0.5,1045,765,80,66,134
class,6,0.75,1045,381,86,102,476
class,7,0.5,532,387,50,32,63
class,7,0.75,532,185,46,53,248
class,8,0.5,251,194,10,10,37
class,8,0.75,251,146,14,9,82
class,9,0.5,4886,4109,202,189,386
class,9,0.75,4886,1731,503,464,2188
