section,scale,metric,value
fdr_fixed_base,tiny,edge_saturation_rate,0.235525682569
fdr_fixed_base,tiny,object_saturation_rate,0.503264546394
scads_adaptive,tiny,edge_saturation_rate,0.163766205311
scads_adaptive,tiny,object_saturation_rate,0.301728278399
scads_oracle,tiny,edge_saturation_rate,0.121015362442
scads_oracle,tiny,object_saturation_rate,0.220451265574
fdr_fixed_base,small,edge_saturation_rate,0.046096652746
fdr_fixed_base,small,object_saturation_rate,0.113754644990
scads_adaptive,small,edge_saturation_rate,0.030934678391
scads_adaptive,small,object_saturation_rate,0.068189062178
scads_oracle,small,edge_saturation_rate,0.016356877983
scads_oracle,small,object_saturation_rate,0.034838024527
fdr_fixed_base,other,edge_saturation_rate,0.044641070068
fdr_fixed_base,other,object_saturation_rate,0.130173966289
scads_adaptive,other,edge_saturation_rate,0.038692262024
scads_adaptive,other,object_saturation_rate,0.107178561389
scads_oracle,other,edge_saturation_rate,0.014397121035
scads_oracle,other,object_saturation_rate,0.043991200626
fdr_fixed_base,overall,edge_saturation_rate,0.157840609550
fdr_fixed_base,overall,object_saturation_rate,0.346280425787
scads_adaptive,overall,edge_saturation_rate,0.110537365079
scads_adaptive,overall,object_saturation_rate,0.211740344763
scads_oracle,overall,edge_saturation_rate,0.077930830419
scads_oracle,overall,object_saturation_rate,0.145832151175
route,overall,accuracy,0.380752414465
route,overall,balanced_accuracy,0.400953377287
route,overall,entropy_mean,0.974186122417
route,overall,effective_up_scale_range,0.100345015526
route,overall,wide_overflow_rate,0.151137724519
gate,tiny,tiny_saturation_relative_reduction,0.304677929282
