window,epochs,metric,fdr,scads,absolute_delta
final,30,precision,0.072200000000,0.071940000000,-0.000260000000
final,30,recall,0.114650000000,0.139330000000,0.024680000000
final,30,map50,0.032000000000,0.036730000000,0.004730000000
final,30,map75,0.011769668438,0.014179726714,0.002410058275
final,30,map,0.014300000000,0.016860000000,0.002560000000
tail3,"28,29,30",precision,0.065666666667,0.074663333333,0.008996666667
tail3,"28,29,30",recall,0.119016666667,0.131820000000,0.012803333333
tail3,"28,29,30",map50,0.031250000000,0.035873333333,0.004623333333
tail3,"28,29,30",map75,0.011750083874,0.013688628042,0.001938544168
tail3,"28,29,30",map,0.014150000000,0.016260000000,0.002110000000
best,29,map:fdr,0.014530000000,,
best,30,map:scads,,0.016860000000,
