completed_epoch,variant,stage,run_id,precision,recall,map50,map,map75,loss_giou,loss_class,loss_bbox,loss_fgl,loss_fgl_aux,loss_bbox_pre,loss_giou_pre,gradient_norm,fdr_gradient_norm,cuda_peak_mib
1,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,1e-05,0.00128,0.0,0.0,0.0,2.3257596492767334,1.3100920915603638,0.8784291744232178,,,,,980.0634155273438,,10715.81
2,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.00105,0.00286,1e-05,0.0,5.325523797856615e-07,2.329073905944824,0.3528541028499603,0.9507210850715637,,,,,355.5935363769531,,8428.63
3,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.00051,0.00332,1e-05,0.0,7.482089747666523e-08,2.431443929672241,0.0921994298696518,1.1347968578338623,,,,,449.7949523925781,,10360.05
4,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.0003,0.00276,1e-05,0.0,3.6927621861152145e-07,2.539778709411621,0.06359659880399704,1.2567760944366455,,,,,282.7043151855469,,9020.13
5,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.00029,0.0032,1e-05,0.0,5.264127602453083e-08,2.58465838432312,0.0664597824215889,1.145432949066162,,,,,343.0790710449219,,8789.93
6,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.00057,0.00521,3e-05,0.0,2.0275750202757501e-07,2.5673770904541016,0.07767771184444427,0.9919029474258423,,,,,161.196533203125,,9574.55
7,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.00048,0.00555,3e-05,0.0,1.1269480101317992e-07,2.41652250289917,0.06168510392308235,1.175247073173523,,,,,215.88848876953125,,9377.58
8,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.0005,0.0058,3e-05,1e-05,1.4925373134328358e-06,2.2990036010742188,0.08228365331888199,0.9851822853088379,,,,,210.99356079101562,,8151.19
9,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.0005,0.00508,3e-05,1e-05,1.335113484646195e-07,2.475379228591919,0.08130143582820892,0.8474568724632263,,,,,227.46946716308594,,8590.26
10,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.00095,0.00669,5e-05,1e-05,2.9507229271171436e-07,2.4123058319091797,0.08355740457773209,0.8505821824073792,,,,,180.24659729003906,,8048.4
11,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.00074,0.00865,0.00015,4e-05,2.62639527248851e-07,2.3356504440307617,0.09797237068414688,0.8423348665237427,,,,,317.6370544433594,,8709.86
12,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.00202,0.00995,0.00063,0.00014,4.49759198854432e-07,2.353759288787842,0.09141688048839569,0.8189408183097839,,,,,344.1137390136719,,8575.27
13,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.00128,0.01358,0.00035,5e-05,1.0270455323519342e-06,2.349271059036255,0.09471791237592697,0.7953083515167236,,,,,266.61260986328125,,8609.97
14,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.50121,0.00632,0.00038,0.0001,1.6220600162206001e-06,2.284301996231079,0.1208534985780716,0.7409065961837769,,,,,307.4392395019531,,8575.26
15,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.10416,0.0092,0.00045,0.00017,5.4892025205574006e-05,2.3556506633758545,0.09919196367263794,0.7873784303665161,,,,,246.19200134277344,,8463.37
16,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.0022,0.01331,0.00034,0.00011,8.417388935276108e-05,2.2851996421813965,0.10425660759210587,0.7851456999778748,,,,,245.3949432373047,,10304.67
17,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.70601,0.008,0.00191,0.00055,0.0005508384769503068,2.184390068054199,0.11503047496080399,0.8075663447380066,,,,,327.0663146972656,,8861.77
18,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.606,0.00963,0.00189,0.00035,1.4733332915834278e-05,2.2188563346862793,0.11578354239463806,0.7511310577392578,,,,,365.505859375,,8327.96
19,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.00131,0.00796,0.00028,7e-05,1.4429835987367916e-06,2.2946557998657227,0.11063648760318756,0.7093767523765564,,,,,390.7812194824219,,9178.96
20,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.00191,0.00723,0.00015,5e-05,7.350356332491771e-06,2.3166165351867676,0.10066580027341843,0.7148056030273438,,,,,305.1599426269531,,8883.62
21,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.70452,0.00796,0.00121,0.00035,0.000285957005312085,2.2041125297546387,0.12426796555519104,0.6836610436439514,,,,,335.7588195800781,,8151.66
22,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.60612,0.00653,0.00113,0.00026,1.9161653466408956e-05,2.160468339920044,0.13119637966156006,0.6744910478591919,,,,,375.67034912109375,,9779.14
23,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.4224,0.01004,0.00195,0.00062,0.0005037879401206095,2.1045541763305664,0.13551878929138184,0.6683427095413208,,,,,451.75872802734375,,8462.04
24,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.10772,0.0274,0.00162,0.00039,0.00010404942911496906,2.1305770874023438,0.13713109493255615,0.6758182048797607,,,,,344.3646240234375,,7932.57
25,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.61702,0.00841,0.00109,0.00022,3.451242034469191e-05,2.107421875,0.15121030807495117,0.6299692392349243,,,,,414.7823486328125,,9231.15
26,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.10397,0.0143,0.00101,0.00025,8.166585185256636e-05,2.1571366786956787,0.14155030250549316,0.6284308433532715,,,,,481.32470703125,,8395.64
27,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.1167,0.03643,0.00342,0.00076,3.6799483545212176e-05,2.144618511199951,0.13826672732830048,0.6112483739852905,,,,,481.4749450683594,,7769.57
28,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.32542,0.02441,0.00386,0.00102,0.0005188129223552431,2.0837182998657227,0.16540087759494781,0.6170659065246582,,,,,439.71527099609375,,9284.64
29,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.12314,0.05124,0.00591,0.00143,0.0002722273377625888,2.086740016937256,0.17022167146205902,0.5923412442207336,,,,,322.8232421875,,8251.19
30,control,screen,control-screen-seed0-b54fbb2dfe73-2545f6830263,0.00662,0.02501,0.00125,0.00026,3.0409036836607935e-05,2.0993258953094482,0.16893617808818817,0.5461471676826477,,,,,421.189208984375,,8669.36
