epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,65.8774,2.32576,1.31009,0.87843,1e-05,0.00128,0,0,1.98654,1.48807,1.97798,0.00987654,0.00329218,0.00987654,0.00329218,0.00987654,0.00329218,0.00987654,0.00329218
2,117.414,2.32907,0.35285,0.95072,0.00105,0.00286,1e-05,0,2.36344,0.21031,1.20597,0.019483,0.00649433,0.019483,0.00649433,0.019483,0.00649433,0.019483,0.00649433
3,165.452,2.43144,0.0922,1.1348,0.00051,0.00332,1e-05,0,2.28221,0.0846,1.33841,0.0286934,0.00956448,0.0286934,0.00956448,0.0286934,0.00956448,0.0286934,0.00956448
4,213.161,2.53978,0.0636,1.25678,0.0003,0.00276,1e-05,0,2.35975,0.07294,1.1143,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,262.516,2.58466,0.06646,1.14543,0.00029,0.0032,1e-05,0,2.4775,0.08229,0.75715,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,310.786,2.56738,0.07768,0.9919,0.00057,0.00521,3e-05,0,2.30328,0.10497,0.73898,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,358.71,2.41652,0.06169,1.17525,0.00048,0.00555,3e-05,0,2.08097,0.10569,0.90288,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,406.656,2.299,0.08228,0.98518,0.0005,0.0058,3e-05,1e-05,2.23833,0.11424,0.712,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,454.462,2.47538,0.0813,0.84746,0.0005,0.00508,3e-05,1e-05,2.38442,0.10044,0.70126,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,501.448,2.41231,0.08356,0.85058,0.00095,0.00669,5e-05,1e-05,2.25369,0.10731,0.74527,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,549.075,2.33565,0.09797,0.84233,0.00074,0.00865,0.00015,4e-05,2.25193,0.12598,0.69885,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,596.622,2.35376,0.09142,0.81894,0.00202,0.00995,0.00063,0.00014,2.15802,0.14633,0.66393,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,644.956,2.34927,0.09472,0.79531,0.00128,0.01358,0.00035,5e-05,2.12067,0.16984,0.6415,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,689.854,2.2843,0.12085,0.74091,0.50121,0.00632,0.00038,0.0001,2.20108,0.1281,0.63608,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,735.719,2.35565,0.09919,0.78738,0.10416,0.0092,0.00045,0.00017,2.16407,0.14372,0.68852,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,783.211,2.2852,0.10426,0.78515,0.0022,0.01331,0.00034,0.00011,2.0612,0.16516,0.64414,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
