epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,622.93,2.38651,0.4536,0.87937,0.00687,0.01426,0.00088,0.00017,2.05044,0.20582,0.58746,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,1079.83,2.03493,0.25894,0.57317,0.06629,0.10529,0.02922,0.01384,1.58603,0.43213,0.36796,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659
3,1495.54,1.74968,0.37552,0.41473,0.11037,0.1543,0.06337,0.03155,1.42613,0.45615,0.29045,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796
4,1896.58,1.57972,0.41551,0.33434,0.17208,0.19329,0.10467,0.05735,1.21484,0.48863,0.21092,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2295.5,1.46772,0.43073,0.29202,0.2074,0.23367,0.13782,0.07554,1.19735,0.48617,0.20698,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2695.07,1.41928,0.42952,0.27612,0.24022,0.2484,0.16478,0.09064,1.11683,0.49684,0.18094,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3092.4,1.35716,0.43509,0.25486,0.28053,0.26837,0.193,0.10821,1.08008,0.49468,0.16519,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3490.25,1.3202,0.43827,0.2458,0.30739,0.28834,0.21459,0.11892,1.07366,0.48497,0.16431,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3887.01,1.28414,0.43843,0.23441,0.32696,0.30129,0.23542,0.1331,1.00454,0.49227,0.14532,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4282.29,1.24081,0.43966,0.21852,0.34122,0.32499,0.26206,0.14915,0.97211,0.48984,0.14191,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
