epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,624.173,2.41485,0.44603,0.91024,0.30157,0.00978,0.00026,4e-05,2.36353,0.14044,0.79267,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,1095.65,2.11478,0.23013,0.61251,0.07356,0.11436,0.02785,0.01255,1.61932,0.43714,0.36911,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659
3,1526.37,1.76803,0.37251,0.42462,0.11709,0.15307,0.0662,0.03341,1.40694,0.4607,0.28439,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796
4,1945.15,1.60287,0.4085,0.34956,0.18041,0.19116,0.10292,0.05742,1.25364,0.48913,0.22323,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2362.38,1.4809,0.42827,0.29952,0.20345,0.23239,0.13386,0.07549,1.16043,0.49375,0.2033,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2780.59,1.42458,0.42814,0.27695,0.24391,0.24977,0.16741,0.09309,1.1424,0.4837,0.18661,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3196.91,1.35667,0.43555,0.25265,0.25849,0.26569,0.18127,0.10137,1.07766,0.49545,0.16358,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3612.56,1.32826,0.43779,0.24707,0.29808,0.29071,0.21459,0.12093,1.04143,0.48993,0.15669,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4027.68,1.29226,0.43776,0.23835,0.32754,0.3031,0.23478,0.13218,1.0167,0.49276,0.14657,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4443.2,1.25125,0.43833,0.22126,0.34211,0.30546,0.24293,0.1379,0.98437,0.49305,0.14271,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4858.14,1.24412,0.4314,0.22105,0.37674,0.33507,0.27961,0.1611,0.95462,0.48976,0.13369,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5272.74,1.21459,0.43375,0.20843,0.37233,0.34972,0.29103,0.1668,0.94267,0.4858,0.13216,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5686.69,1.19972,0.42996,0.20441,0.3973,0.33555,0.29411,0.17161,0.9416,0.48246,0.12801,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6101.45,1.18531,0.42519,0.20478,0.40196,0.36171,0.31571,0.18502,0.90883,0.4814,0.12041,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6516.86,1.17383,0.42089,0.19827,0.42196,0.36321,0.32299,0.18832,0.89869,0.4766,0.12046,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6933.85,1.15343,0.4215,0.1967,0.44105,0.38044,0.34321,0.20113,0.89323,0.47609,0.11996,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,7349,1.14572,0.42076,0.19297,0.43702,0.37362,0.33706,0.19578,0.892,0.47758,0.11855,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7762.77,1.12433,0.42113,0.18832,0.45207,0.38636,0.35184,0.2078,0.88589,0.47139,0.11691,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,8175.93,1.10879,0.42243,0.18215,0.46797,0.39062,0.36225,0.21145,0.87659,0.46915,0.11641,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,8589.41,1.09278,0.42442,0.17834,0.45517,0.39507,0.36288,0.21133,0.84279,0.48178,0.1072,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,9002.66,1.09864,0.42022,0.18116,0.4672,0.39917,0.36866,0.21785,0.84589,0.47579,0.1082,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,9417.1,1.09003,0.41796,0.17887,0.48097,0.40212,0.38087,0.22496,0.83631,0.47327,0.10613,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,9830.28,1.06159,0.42342,0.16991,0.47509,0.41552,0.38391,0.2257,0.82553,0.47775,0.1035,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,10243.9,1.05724,0.4227,0.16752,0.48258,0.41124,0.38673,0.22843,0.81112,0.47957,0.099,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,10658.3,1.03327,0.42596,0.16559,0.48491,0.41591,0.39215,0.23075,0.82392,0.47598,0.10384,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,11070.4,1.04269,0.42345,0.16002,0.49862,0.41369,0.39652,0.23526,0.79208,0.48242,0.09437,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,11485.6,1.04274,0.421,0.16765,0.49088,0.42142,0.39877,0.23607,0.79561,0.47991,0.09604,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,11898.9,1.036,0.42115,0.16381,0.51656,0.4201,0.40465,0.23911,0.81512,0.47612,0.10517,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,12314.5,1.02858,0.42066,0.16432,0.50387,0.42393,0.40679,0.24029,0.80313,0.47692,0.09781,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,12728.7,1.03103,0.41949,0.16404,0.52233,0.42908,0.41866,0.24744,0.7842,0.47584,0.09465,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,13141.7,1.01615,0.42215,0.16137,0.51968,0.42285,0.41272,0.24499,0.77644,0.48187,0.09293,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,13554.8,1.01428,0.42174,0.15816,0.52815,0.43022,0.42172,0.25029,0.77243,0.47948,0.09277,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13968.6,1.0068,0.4223,0.15721,0.52545,0.4267,0.4189,0.24958,0.78133,0.47945,0.0931,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14381,1.00102,0.42184,0.14991,0.51411,0.44007,0.42225,0.25176,0.76386,0.48176,0.08926,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
