completed_epoch,stage,run_id,precision,recall,map50,map,map75,loss_giou,loss_class,loss_bbox,loss_fgl,loss_fgl_aux,loss_bbox_pre,loss_giou_pre,loss_bpdd,loss_ra_support,loss_ra_scale,bpdd_active_edge_ratio,bpdd_mean_reliability,bpdd_mean_teacher_improvement,bpdd_mixture_beats_final_ratio,bpdd_mean_mixture_advantage_over_final,bpdd_matched_queries,bpdd_eligible_edges,ra_target_mean,ra_valid_fraction,ra_scale_entropy,ra_scale_tiny_fraction,ra_scale_small_fraction,ra_scale_regular_fraction,ra_scale_tiny_recall,ra_scale_small_recall,ra_scale_regular_recall,ra_scale_positive_pixels,ra_scale_gate_mean_abs_deviation,ra_scale_gate_std,gradient_norm,fdr_gradient_norm,ra_glgm_gradient_norm,learning_rate,amp_scale,amp_skipped_steps,cuda_peak_mib,epoch_wall_seconds,last_checkpoint_sha256,last_checkpoint_bytes,milestone_checkpoint,milestone_checkpoint_sha256,disk_free_bytes
1,formal,fdr_bpdd_ra_glgm-formal-seed0-1023444c2347-3b82a7c8eddc,0.30069,0.00485,4e-05,1e-05,1.824817518248175e-07,2.41627836227417,0.43988654017448425,0.9501236081123352,0.08868512511253357,0.43507447838783264,1.2693207263946533,2.888216257095337,0.00018096565327141434,0.05901450291275978,1.0880886316299438,0.2941342890262604,0.008635898120701313,0.03556114807724953,0.3883744776248932,-0.0005650442326441407,413522.0,8270440.0,0.05317753180861473,0.9993526935577393,1.095620036125183,0.9926451444625854,0.00012250852887518704,0.007232367992401123,0.9935843348503113,9.756438521435484e-05,0.009481670334935188,6872991.0,0.010234707966446877,0.010083924047648907,51.382362365722656,41.9074821472168,0.04518949240446091,0.009987639060568603,128.0,0,12045.82,699.057,8B27540EE8F8C05EE4B350BEC67F215CD1C7E4D27EB645FB29E750B439D9484C,207027392,,,60254322688
2,formal,fdr_bpdd_ra_glgm-formal-seed0-1023444c2347-3b82a7c8eddc,0.01877,0.03136,0.00396,0.00112,0.00016704650349164333,2.34865665435791,0.11925075203180313,0.7814207077026367,0.22629870474338531,1.0714244842529297,0.7853541374206543,2.4428951740264893,0.0005129975616000593,0.016994202509522438,1.052774429321289,0.36070477962493896,0.011469310149550438,0.045660585165023804,0.43101295828819275,0.012218505144119263,417164.0,8343280.0,0.03654950112104416,0.9991741180419922,1.0710095167160034,0.9080489873886108,0.019225893542170525,0.07272510975599289,0.9416412115097046,0.02749123051762581,0.11844313889741898,6960457.0,0.03904097154736519,0.02888917177915573,26.525135040283203,65.6681900024414,0.10513350367546082,0.01978976143386897,128.0,0,13490.06,527.045,D75B335AE4DC5161B7E8ED4F0218E9FB2A99DB4887B7D5A2615B7AB8DA030139,207027584,,,60047032320
3,formal,fdr_bpdd_ra_glgm-formal-seed0-1023444c2347-3b82a7c8eddc,0.15963,0.09919,0.0244,0.01072,0.008287114856560121,1.9742405414581299,0.26453253626823425,0.5374603867530823,0.664994478225708,3.1969363689422607,0.35187608003616333,1.665664792060852,0.013141642324626446,0.00965975970029831,0.9190234541893005,0.5118248462677002,0.052138037979602814,0.16718371212482452,0.3955185115337372,0.1652938574552536,417907.0,8358140.0,0.021962489932775497,0.9998437166213989,0.945513904094696,0.661146342754364,0.15601453185081482,0.18283914029598236,0.8427509665489197,0.26798829436302185,0.4196586608886719,6978440.0,0.08505793660879135,0.08772091567516327,70.97290802001953,117.13919067382812,0.2033137083053589,0.029393883807169344,128.0,0,10912.29,488.476,0F25BF7026D4BA440756DCFEFB86FFA479390870A0C9A81B6F0EACFEAEB06330,207027776,,,60046843904
4,formal,fdr_bpdd_ra_glgm-formal-seed0-1023444c2347-3b82a7c8eddc,0.19547,0.14,0.04888,0.02384,0.02187865565476058,1.7484583854675293,0.36839553713798523,0.3943195939064026,0.7027061581611633,3.331658124923706,0.3490384519100189,1.7534421682357788,0.04366658255457878,0.0081510404124856,0.7188211679458618,0.545362114906311,0.07644027471542358,0.25573277473449707,0.39385125041007996,0.2972029149532318,412546.0,8250920.0,0.01943444088101387,0.9985267519950867,0.7318634986877441,0.5234156847000122,0.22750063240528107,0.24908366799354553,0.8229623436927795,0.4635814130306244,0.6895452737808228,6864605.0,0.12681353092193604,0.13849854469299316,76.11351013183594,55.792057037353516,0.16329097747802734,0.029108999999999996,128.0,0,13368.11,477.523,E11B8E9851F071471541223357B887042D7CC631C59B138540EC557B32F28DFE,207027968,,,60046635008
5,formal,fdr_bpdd_ra_glgm-formal-seed0-1023444c2347-3b82a7c8eddc,0.13491,0.17141,0.07325,0.03874,0.037227281205830125,1.5936158895492554,0.41048330068588257,0.32526087760925293,0.6101324558258057,2.811488151550293,0.27275896072387695,1.8191688060760498,0.06301149725914001,0.008633207529783249,0.6149920225143433,0.556222677230835,0.08759256452322006,0.3172675669193268,0.38542062044143677,0.3151756227016449,415461.0,8309220.0,0.025186974555253983,0.9987946152687073,0.6260308027267456,0.49985983967781067,0.2544870972633362,0.24565306305885315,0.838867723941803,0.5606273412704468,0.7509939670562744,6842300.0,0.1397944986820221,0.15316550433635712,59.536048889160156,124.74031066894531,0.18713723123073578,0.028811999999999997,128.0,0,11877.78,466.925,2D692D6AF23D07115B1805D5453EDA07F538720808A6C73ED76355A53558AF9B,207027648,/home/ubuntu/fdr-bpdd-ra-glgm/runs/formal-seed0-fdr_bpdd_ra_glgm-v1.1/weights/epoch4.pt,2D692D6AF23D07115B1805D5453EDA07F538720808A6C73ED76355A53558AF9B,59839426560
6,formal,fdr_bpdd_ra_glgm-formal-seed0-1023444c2347-3b82a7c8eddc,0.1743,0.19555,0.10414,0.05636,0.05355768980667909,1.514114260673523,0.42160549759864807,0.2914910912513733,0.775704562664032,3.763758420944214,0.2173737734556198,1.4505796432495117,0.03293854370713234,0.0072431741282343864,0.5563694834709167,0.56576007604599,0.09411156177520752,0.3492042124271393,0.378524512052536,0.31326308846473694,420947.0,8418940.0,0.02061212994158268,0.996696412563324,0.5637314319610596,0.49479439854621887,0.2609992027282715,0.24420639872550964,0.8524659276008606,0.6074683666229248,0.7855105400085449,6888726.0,0.1465580016374588,0.16022323071956635,58.279361724853516,94.63700866699219,0.24243994057178497,0.028515,128.0,0,16001.7,483.274,37CEEE7BC8ED7A03847C43BD549BFD1CB45090795D5E786DFC65E41B4652A385,207027840,,,59839229952
7,formal,fdr_bpdd_ra_glgm-formal-seed0-1023444c2347-3b82a7c8eddc,0.20318,0.23311,0.12854,0.07104,0.06880003273159818,1.4450424909591675,0.43206140398979187,0.26881107687950134,0.5617716908454895,2.6852169036865234,0.3284143805503845,1.8579033613204956,0.04894161596894264,0.009533005766570568,0.5222761631011963,0.5728181004524231,0.09901537746191025,0.3771902918815613,0.3728727400302887,0.3062998354434967,415632.0,8312640.0,0.024448055773973465,0.9918303489685059,0.5296297073364258,0.48124244809150696,0.2725648880004883,0.24619264900684357,0.8526190519332886,0.6413726210594177,0.8077502250671387,6877342.0,0.14966720342636108,0.1643507033586502,66.66424560546875,150.10830688476562,0.1893826425075531,0.028218,128.0,0,16139.5,614.843,98D0FF19018922CBD71C687D98C363D44ABA02E1538495209AF688ECF964AC17,207028032,,,59839021056
8,formal,fdr_bpdd_ra_glgm-formal-seed0-1023444c2347-3b82a7c8eddc,0.23186,0.24699,0.15719,0.0854,0.08004379816080995,1.394006609916687,0.4402209520339966,0.2508988380432129,0.6999833583831787,3.373135805130005,0.2977340519428253,1.6780281066894531,0.0411420539021492,0.007295586634427309,0.49239423871040344,0.5811870694160461,0.1056373119354248,0.4096567630767822,0.3703819513320923,0.31469035148620605,417293.0,8345860.0,0.020358508452773094,0.9979240894317627,0.4973621368408203,0.4759454131126404,0.2737996280193329,0.25025495886802673,0.861216127872467,0.6626608371734619,0.8242403864860535,6930864.0,0.15285968780517578,0.16818082332611084,64.77775573730469,116.70939636230469,0.11909829080104828,0.027920999999999998,128.0,0,11020.54,467.361,4850198DD01D62B604F6D7A30D07CAC067D5FB4DADE41A1F8A34823C4CAB074E,207028224,,,59838832640
9,formal,fdr_bpdd_ra_glgm-formal-seed0-1023444c2347-3b82a7c8eddc,0.25703,0.24898,0.17048,0.09587,0.09375303553979893,1.3554743528366089,0.4407937824726105,0.23964186012744904,0.5612544417381287,2.6760332584381104,0.3089328408241272,1.9238790273666382,0.06286527961492538,0.008859828114509583,0.4665379822254181,0.5795592069625854,0.10790864378213882,0.4215638041496277,0.37150058150291443,0.32451680302619934,417161.0,8343220.0,0.02816847711801529,0.99609375,0.4706481397151947,0.4693537950515747,0.27792301774024963,0.25272321701049805,0.8645210266113281,0.6825661659240723,0.8405454754829407,6933190.0,0.1554647833108902,0.17147955298423767,67.14105224609375,118.92173767089844,0.25133681297302246,0.027624,128.0,0,13923.55,602.0,7000EA8A3E483F93727447D2B56B5F43F1E42A9102A51B171DAB860A7EB2EE9A,207028352,,,59838623744
10,formal,fdr_bpdd_ra_glgm-formal-seed0-1023444c2347-3b82a7c8eddc,0.27188,0.27465,0.19495,0.10971,0.10789430848128563,1.318519115447998,0.4427615702152252,0.225723534822464,0.6028567552566528,2.9731900691986084,0.3108460307121277,1.7457771301269531,0.03963010758161545,0.006398036610335112,0.4527837038040161,0.5899771451950073,0.11600518971681595,0.4430341124534607,0.366324245929718,0.30610308051109314,412531.0,8250620.0,0.013470176607370377,0.9972544312477112,0.45646050572395325,0.46883225440979004,0.27922967076301575,0.2519380748271942,0.8690822720527649,0.6940646767616272,0.8438631296157837,6900001.0,0.15652526915073395,0.1725834161043167,79.68729400634766,127.85067749023438,0.20222263038158417,0.027327,128.0,0,15028.31,497.078,621FF529149E2FEBB780DB83035FADC16D79B3834CF7AF9AF4916D0E0903B2C0,207028544,/home/ubuntu/fdr-bpdd-ra-glgm/runs/formal-seed0-fdr_bpdd_ra_glgm-v1.1/weights/epoch9.pt,621FF529149E2FEBB780DB83035FADC16D79B3834CF7AF9AF4916D0E0903B2C0,59631398912
