epoch,precision,recall,f1,ap50,ap75,map50_95,loss_bpdd,bpdd_active_edge_ratio,ra_glgm_gradient_norm,epoch_wall_seconds
1,0.30069,0.00485,0.009546026706814165,4e-05,1.824817518248175e-07,1e-05,0.00018096565327141434,0.2941342890262604,0.04518949240446091,699.057
2,0.01877,0.03136,0.023484029523239577,0.00396,0.00016704650349164333,0.00112,0.0005129975616000593,0.36070477962493896,0.10513350367546082,527.045
3,0.15963,0.09919,0.12235298431342245,0.0244,0.008287114856560121,0.01072,0.013141642324626446,0.5118248462677002,0.2033137083053589,488.476
4,0.19547,0.14,0.1631490148150356,0.04888,0.02187865565476058,0.02384,0.04366658255457878,0.545362114906311,0.16329097747802734,477.523
5,0.13491,0.17141,0.1509853950117524,0.07325,0.037227281205830125,0.03874,0.06301149725914001,0.556222677230835,0.18713723123073578,466.925
6,0.1743,0.19555,0.18431453291875086,0.10414,0.05355768980667909,0.05636,0.03293854370713234,0.56576007604599,0.24243994057178497,483.274
7,0.20318,0.23311,0.21711838364390657,0.12854,0.06880003273159818,0.07104,0.04894161596894264,0.5728181004524231,0.1893826425075531,614.843
8,0.23186,0.24699,0.2391859722251227,0.15719,0.08004379816080995,0.0854,0.0411420539021492,0.5811870694160461,0.11909829080104828,467.361
9,0.25703,0.24898,0.25294096717456177,0.17048,0.09375303553979893,0.09587,0.06286527961492538,0.5795592069625854,0.25133681297302246,602.0
10,0.27188,0.27465,0.27325798034874577,0.19495,0.10789430848128563,0.10971,0.03963010758161545,0.5899771451950073,0.20222263038158417,497.078
11,0.29336,0.284,0.28860412913953165,0.20968,0.11452227256416256,0.11796,0.04189804196357727,0.5842680931091309,0.2900928556919098,569.019
12,0.30427,0.30038,0.302312486893244,0.22086,0.12244209166599189,0.12511,0.06117953360080719,0.586919367313385,0.1657497137784958,488.226
13,0.32123,0.30288,0.3117852378587109,0.2335,0.1299452888086521,0.13224,0.07867040485143661,0.589586079120636,0.16499678790569305,457.186
14,0.3555,0.31415,0.33354834615097434,0.25399,0.1421299217520265,0.14457,0.05167790874838829,0.5878099203109741,0.23343093693256378,489.738
15,0.35424,0.32114,0.33687889365986556,0.26444,0.1522367566957588,0.15357,0.04376555234193802,0.5893421769142151,0.20739895105361938,475.776
16,0.38083,0.32851,0.35274047226999744,0.27754,0.16078910111445138,0.16154,0.05723011866211891,0.5887495279312134,0.2746056914329529,492.898
17,0.39131,0.34542,0.3669357843443324,0.29202,0.16642270554342378,0.16825,0.09282045066356659,0.5869539976119995,0.37309592962265015,463.112
18,0.39905,0.34749,0.37148949687893484,0.30348,0.17576445917070466,0.17577,0.0830112025141716,0.587563693523407,0.4016032814979553,473.821
19,0.41837,0.35255,0.3826501932755668,0.31157,0.1782947392685869,0.1808,0.10372360050678253,0.5886015295982361,0.44031181931495667,457.315
20,0.42004,0.35779,0.3864240556419783,0.31484,0.18267894451210384,0.18341,0.07007812708616257,0.5924437642097473,0.5011268258094788,462.763
21,0.41374,0.37509,0.39346814041048134,0.33244,0.1897848117605607,0.19209,0.046763308346271515,0.5898067355155945,0.5307720899581909,463.248
22,0.41954,0.37206,0.3943760798383022,0.32987,0.19123997572260212,0.19341,0.06309650838375092,0.5926649570465088,0.5942304730415344,494.701
23,0.43675,0.37837,0.40546937260771415,0.33983,0.1997397118167009,0.19946,0.09262062609195709,0.5905959010124207,0.7177187204360962,460.092
24,0.44715,0.38334,0.4127936061843009,0.34793,0.2012309672499828,0.20318,0.06905408203601837,0.5913283228874207,0.9332849383354187,460.455
25,0.45329,0.39658,0.4230429317425018,0.36196,0.2098314052114676,0.21098,0.1110234409570694,0.5930904746055603,0.9951213002204895,477.695
26,0.45886,0.39591,0.425067006563169,0.36046,0.21171243360457948,0.21186,0.03952641040086746,0.5914061665534973,0.9951851963996887,496.599
27,0.46006,0.39422,0.42460283092194595,0.36674,0.21500902811275338,0.21484,0.0829966813325882,0.5938034057617188,1.289773941040039,622.045
28,0.46937,0.3993,0.43150895276687345,0.37667,0.22215881467803156,0.22215,0.12039210647344589,0.5945900082588196,1.204405426979065,486.032
29,0.47236,0.39923,0.43272704551451946,0.3734,0.22174515827085356,0.21998,0.07420682907104492,0.5953314900398254,1.2269376516342163,511.761
