epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,72.4291,2.3297,1.30677,0.88614,1e-05,0.00205,0,0,1.99643,1.53322,2.01818,0.00987654,0.00329218,0.00987654,0.00329218,0.00987654,0.00329218,0.00987654,0.00329218
2,130.406,2.33308,0.31382,0.97677,0.00019,0.00059,0,0,2.07621,0.14534,1.41598,0.019483,0.00649433,0.019483,0.00649433,0.019483,0.00649433,0.019483,0.00649433
3,186.06,2.5504,0.07472,1.20365,0.00036,0.00228,1e-05,0,2.41376,0.08271,0.96444,0.0286934,0.00956448,0.0286934,0.00956448,0.0286934,0.00956448,0.0286934,0.00956448
4,240.504,2.5312,0.06831,0.93696,0.00135,0.00538,4e-05,1e-05,2.39149,0.0923,0.837,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,294.959,2.35971,0.08625,0.85906,0.00065,0.0052,0.00016,2e-05,2.3495,0.10609,0.75302,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,349.224,2.32811,0.09786,0.73488,0.70237,0.00155,0.00011,2e-05,2.41562,0.09282,0.88403,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,403.258,2.3772,0.09677,0.72463,0.00037,0.00364,4e-05,1e-05,2.90783,0.07871,1.32336,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,456.369,2.29087,0.10148,0.77071,0.30148,0.00406,0.00016,3e-05,2.28595,0.10971,0.77523,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,510.852,2.37091,0.1005,0.78036,0.00373,0.0244,0.00066,0.00012,2.13049,0.17938,0.63609,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,564.403,2.32497,0.13034,0.72506,0.00548,0.02534,0.00142,0.00027,2.12257,0.19781,0.60455,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
