epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,650.814,2.40973,0.44155,0.93855,0.40245,0.0076,0.00019,4e-05,2.51682,0.11408,0.92946,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,1139.87,2.27103,0.14432,0.72387,0.03193,0.06372,0.00825,0.00274,1.73227,0.32768,0.42231,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659
3,1584.49,1.93694,0.29274,0.51117,0.05803,0.09689,0.02539,0.01086,1.57646,0.42611,0.31379,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796
4,2016.27,1.7575,0.36488,0.40572,0.09811,0.13264,0.04798,0.02379,1.42678,0.45034,0.26443,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2446.1,1.60248,0.4048,0.32895,0.14999,0.17347,0.07948,0.04113,1.30284,0.48931,0.22582,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2875.95,1.53343,0.41496,0.29687,0.17451,0.20176,0.10516,0.05668,1.18967,0.49971,0.19076,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3303.6,1.44713,0.43188,0.26772,0.18687,0.20014,0.11499,0.06261,1.2379,0.47097,0.18079,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3730.59,1.40544,0.43548,0.25527,0.22025,0.24511,0.15002,0.08317,1.15084,0.48142,0.17253,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4155.84,1.35867,0.44102,0.24222,0.25373,0.26491,0.17482,0.09737,1.08949,0.49698,0.15531,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4580.96,1.31599,0.44581,0.22635,0.28905,0.27867,0.19832,0.11088,1.02761,0.5022,0.14661,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5009.21,1.30148,0.44156,0.21964,0.29258,0.28967,0.20616,0.11697,1.03255,0.50381,0.14751,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5433.75,1.26819,0.44718,0.21195,0.30214,0.29958,0.22131,0.12491,0.99439,0.50469,0.13216,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5857.18,1.25552,0.44363,0.20525,0.32196,0.31148,0.23906,0.13691,0.98585,0.49426,0.12954,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6281.97,1.22761,0.44375,0.1996,0.34256,0.31359,0.25206,0.14667,0.96398,0.49869,0.13023,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
