epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,635.714,2.37835,0.56315,0.96745,0.00217,0.00489,0.00022,4e-05,2.28613,0.10817,0.92937,0.00996296,0.00332099,0.00996296,0.00332099,0.00996296,0.00332099,0.00996296,0.00332099
2,1236.41,2.40457,0.10071,0.90313,0.30501,0.01114,0.00103,0.00025,1.98118,0.19426,0.54162,0.0197653,0.00658844,0.0197653,0.00658844,0.0197653,0.00658844,0.0197653,0.00658844
3,1764.61,2.15108,0.17107,0.67285,0.01757,0.05985,0.00719,0.00249,1.77514,0.30106,0.45148,0.0293697,0.0097899,0.0293697,0.0097899,0.0293697,0.0097899,0.0293697,0.0097899
4,481.394,2.00365,0.22812,0.53749,0.03117,0.08479,0.01525,0.00566,1.65644,0.33249,0.34046,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,494.659,1.84667,0.28034,0.41959,0.04855,0.1187,0.02485,0.00942,1.55243,0.37596,0.28087,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,472.535,1.74843,0.31129,0.35493,0.08219,0.11608,0.04243,0.01753,1.446,0.39428,0.23674,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,916.681,1.68336,0.32483,0.31592,0.07358,0.10707,0.03513,0.01423,1.49506,0.37529,0.23174,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1340.64,1.64531,0.32551,0.29276,0.11064,0.14415,0.05989,0.02463,1.34891,0.42386,0.20392,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,433.197,1.61011,0.33961,0.28209,0.12496,0.17398,0.07722,0.03533,1.31117,0.43717,0.20036,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,848.525,1.58981,0.33004,0.26944,0.14661,0.17637,0.0868,0.03761,1.27784,0.42674,0.18423,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1241.91,1.54807,0.34615,0.24771,0.13152,0.15245,0.07279,0.02766,1.30631,0.42389,0.1901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,402.365,1.51764,0.35289,0.24305,0.16327,0.21699,0.10349,0.04732,1.21388,0.45418,0.16505,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,793.069,1.50442,0.35551,0.23578,0.17494,0.18913,0.09603,0.03849,1.27257,0.43249,0.16265,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,387.569,1.48524,0.35929,0.22347,0.17985,0.19202,0.10668,0.04781,1.23999,0.44802,0.15762,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,760.903,1.43272,0.37492,0.21264,0.21012,0.20638,0.12319,0.05398,1.19026,0.4538,0.14413,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1133,1.47575,0.35348,0.214,0.21676,0.20543,0.12356,0.05127,1.20764,0.44563,0.15716,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1501.06,1.46069,0.36383,0.21524,0.16545,0.18073,0.10237,0.04417,1.29631,0.41078,0.15815,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,391.515,1.44148,0.36369,0.20763,0.23673,0.23534,0.15102,0.06586,1.14105,0.46948,0.14112,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,771.509,1.45676,0.35881,0.20368,0.17491,0.17889,0.09849,0.03782,1.27315,0.40603,0.15813,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1150.92,1.55968,0.31668,0.22808,0.23229,0.22071,0.14786,0.06473,1.16938,0.44999,0.13817,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1523.51,1.3959,0.37422,0.19332,0.22647,0.23138,0.15265,0.06964,1.14748,0.45782,0.13438,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1905.89,1.59373,0.30395,0.23732,0.21383,0.18885,0.11723,0.05034,1.26369,0.40262,0.16182,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2283.81,1.46038,0.35291,0.21215,0.25809,0.22795,0.15912,0.07409,1.11089,0.4674,0.13328,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2666.04,1.4911,0.34281,0.21045,0.23966,0.19615,0.13448,0.06162,1.21515,0.41477,0.15495,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3057.43,1.64521,0.28815,0.24689,0.17981,0.15128,0.08675,0.03393,1.29094,0.39686,0.17145,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3454.92,1.61147,0.2949,0.2419,0.17021,0.14972,0.0935,0.03967,1.4774,0.35117,0.17224,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3838.61,1.73685,0.25938,0.27532,0.20107,0.17532,0.10458,0.04348,1.29604,0.40926,0.16333,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4214.72,1.41017,0.36549,0.19283,0.24422,0.24753,0.16521,0.07784,1.09936,0.4606,0.12768,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4589.11,1.30333,0.39815,0.16815,0.30598,0.29714,0.21575,0.10761,0.97636,0.49889,0.11053,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4984.51,1.32677,0.39093,0.17628,0.30999,0.27198,0.20878,0.09638,1.03959,0.47572,0.11321,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,364.251,1.2856,0.39865,0.16189,0.27059,0.25756,0.18341,0.07949,1.13931,0.45044,0.12123,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,719.731,1.32317,0.37949,0.16614,0.31154,0.27069,0.20738,0.09638,1.06629,0.46182,0.11775,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1067.95,1.29393,0.39064,0.15813,0.31088,0.29346,0.22409,0.10662,1.00904,0.48581,0.10901,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,368.577,1.30134,0.38672,0.15994,0.32648,0.29359,0.22523,0.10599,1.00756,0.48368,0.11368,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,725.477,1.34777,0.3681,0.16839,0.31921,0.29148,0.21694,0.10253,1.02605,0.47281,0.11045,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,357.94,1.24098,0.40213,0.14692,0.31412,0.27395,0.20524,0.10214,1.05915,0.46014,0.11202,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,710.359,1.29947,0.3773,0.15657,0.34864,0.29997,0.23872,0.12163,0.98417,0.48164,0.10959,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1057.15,1.22209,0.40752,0.14442,0.33388,0.31008,0.24401,0.12179,0.97149,0.49155,0.10471,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1406.14,1.26832,0.3958,0.15189,0.33538,0.32829,0.25489,0.13301,0.92851,0.50006,0.10038,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,376.392,1.31792,0.37405,0.16256,0.32182,0.30643,0.2328,0.1154,0.98286,0.48279,0.10415,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,741.614,1.23222,0.40322,0.1466,0.34894,0.32621,0.25874,0.13436,0.91034,0.51131,0.0974,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1107.93,1.20369,0.41032,0.13737,0.36634,0.34511,0.281,0.14868,0.88755,0.50748,0.09361,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1466.51,1.23906,0.39803,0.14402,0.28748,0.25406,0.18714,0.07624,1.12191,0.44966,0.11337,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1829.05,1.27018,0.39354,0.14987,0.33173,0.31668,0.24541,0.11379,0.96964,0.49399,0.09927,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2195.21,1.25363,0.39842,0.14945,0.34762,0.3311,0.26131,0.13159,0.94121,0.49329,0.09867,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2562.49,1.26735,0.39151,0.15012,0.35253,0.33244,0.26375,0.13012,0.93263,0.49855,0.09685,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2935.22,1.21908,0.40761,0.14146,0.35277,0.33021,0.26592,0.12674,0.95126,0.49317,0.09798,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3304.49,1.2592,0.39233,0.14887,0.3027,0.28599,0.21459,0.09237,1.11238,0.44209,0.10744,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3669.5,1.46613,0.33164,0.1833,0.32905,0.27916,0.2161,0.09243,1.10721,0.42784,0.12146,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4032.08,1.46403,0.32912,0.17276,0.12753,0.10342,0.05188,0.01698,1.73026,0.26061,0.18162,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4398.51,1.49764,0.31838,0.19715,0.346,0.32485,0.25492,0.13138,0.94046,0.48284,0.09832,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4777.1,1.14545,0.4224,0.13811,0.38954,0.35686,0.29881,0.16202,0.85444,0.50781,0.08846,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5139.29,1.13703,0.423,0.12967,0.4076,0.36212,0.31141,0.16883,0.8473,0.50705,0.08723,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5511,1.17629,0.41098,0.13336,0.38928,0.35392,0.29941,0.15399,0.90019,0.49698,0.09064,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,381.794,1.25313,0.38346,0.13873,0.36122,0.30812,0.25172,0.1118,1.04072,0.45198,0.10323,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,756.475,1.44194,0.32997,0.1687,0.18378,0.148,0.08883,0.03238,1.53682,0.29518,0.15647,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1126.9,1.36762,0.34883,0.15209,0.30857,0.27249,0.20893,0.09623,1.12129,0.42072,0.10522,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1498.79,1.44139,0.32627,0.16542,0.36071,0.32691,0.26152,0.13554,0.98305,0.45434,0.09936,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1866.99,1.44593,0.33125,0.1683,0.08032,0.07147,0.03106,0.00992,1.82405,0.24541,0.17851,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2242.8,1.44531,0.33068,0.17906,0.35197,0.34258,0.26559,0.13258,0.95351,0.47553,0.0957,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2621.11,1.1073,0.42517,0.1195,0.39932,0.37906,0.31861,0.17275,0.85088,0.50078,0.08508,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2998.5,1.06042,0.43807,0.1143,0.41138,0.38471,0.331,0.18431,0.82073,0.50928,0.083,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3381.77,1.0958,0.42646,0.11936,0.39944,0.35479,0.30219,0.14852,0.92555,0.48351,0.08836,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
