"epoch","time","train/giou_loss","train/cls_loss","train/l1_loss","metrics/precision(B)","metrics/recall(B)","metrics/mAP50(B)","metrics/mAP50-95(B)","val/giou_loss","val/cls_loss","val/l1_loss","lr/pg0","lr/pg1","lr/pg2","lr/pg3","lr/pg4","lr/pg5","lr/pg6","lr/pg7"
"1","1674.22","2.37147","0.45662","0.94271","0.40293","0.00614","0.00036","7e-05","2.39481","0.12202","0.8418","0.00998764","0.00332921","0.00998764","0.00332921","0.00998764","0.00332921","0.00998764","0.00332921"
"2","3168.12","2.27257","0.16497","0.77558","0.12018","0.04994","0.00564","0.00162","1.8002","0.33874","0.46584","0.0197898","0.00659659","0.0197898","0.00659659","0.0197898","0.00659659","0.0197898","0.00659659"
"3","4420.95","2.04317","0.22599","0.60248","0.11572","0.04368","0.00614","0.00192","1.84205","0.24009","0.45937","0.0293939","0.00979796","0.0293939","0.00979796","0.0293939","0.00979796","0.0293939","0.00979796"
"4","5614.88","1.94972","0.25048","0.51498","0.04412","0.10205","0.02158","0.00843","1.58194","0.38505","0.29816","0.029109","0.009703","0.029109","0.009703","0.029109","0.009703","0.029109","0.009703"
"5","6757.53","1.8219","0.30672","0.41113","0.18638","0.10682","0.03419","0.01422","1.44813","0.42172","0.25521","0.028812","0.009604","0.028812","0.009604","0.028812","0.009604","0.028812","0.009604"
"6","7857.79","1.74466","0.32479","0.3553","0.07854","0.14126","0.03841","0.01706","1.40685","0.44229","0.23036","0.028515","0.009505","0.028515","0.009505","0.028515","0.009505","0.028515","0.009505"
"7","8828.74","1.66261","0.34269","0.3119","0.10156","0.13681","0.05405","0.0243","1.39373","0.40655","0.20856","0.028218","0.009406","0.028218","0.009406","0.028218","0.009406","0.028218","0.009406"
"8","9784.99","1.62122","0.34788","0.2972","0.16173","0.15602","0.06469","0.02816","1.33658","0.41893","0.19962","0.027921","0.009307","0.027921","0.009307","0.027921","0.009307","0.027921","0.009307"
"9","10709.3","1.58516","0.3551","0.27801","0.14571","0.14626","0.07037","0.02704","1.33527","0.41895","0.19172","0.027624","0.009208","0.027624","0.009208","0.027624","0.009208","0.027624","0.009208"
"10","11608.7","1.56199","0.35637","0.26477","0.1475","0.17886","0.08404","0.04098","1.2702","0.44182","0.19467","0.027327","0.009109","0.027327","0.009109","0.027327","0.009109","0.027327","0.009109"
"11","12506.2","1.5337","0.36095","0.25849","0.15402","0.16719","0.08505","0.03615","1.34202","0.4279","0.19072","0.02703","0.00901","0.02703","0.00901","0.02703","0.00901","0.02703","0.00901"
"12","12766.361","1.50452","0.36385","0.2457","0.16667","0.16335","0.08977","0.04148","1.29564","0.41109","0.1697","0.026733","0.008911","0.026733","0.008911","0.026733","0.008911","0.026733","0.008911"
"13","13027.822","1.48727","0.36685","0.23588","0.18595","0.18835","0.1072","0.05458","1.17863","0.46984","0.16758","0.026436","0.008812","0.026436","0.008812","0.026436","0.008812","0.026436","0.008812"
"14","13280.852","1.49661","0.3595","0.23335","0.22453","0.18755","0.11849","0.05195","1.21232","0.44777","0.16894","0.026139","0.008713","0.026139","0.008713","0.026139","0.008713","0.026139","0.008713"
"15","13535.63","1.44479","0.37809","0.22037","0.11738","0.13536","0.05598","0.01867","1.41073","0.37289","0.17","0.025842","0.008614","0.025842","0.008614","0.025842","0.008614","0.025842","0.008614"
"16","13793.08","1.46677","0.36525","0.22438","0.20908","0.19883","0.127","0.05925","1.17456","0.46205","0.15637","0.025545","0.008515","0.025545","0.008515","0.025545","0.008515","0.025545","0.008515"
"17","14052.04","1.41921","0.38153","0.21322","0.2439","0.2122","0.14154","0.07061","1.13658","0.45798","0.13806","0.025248","0.008416","0.025248","0.008416","0.025248","0.008416","0.025248","0.008416"
"18","14299.47","1.44951","0.36318","0.21566","0.24115","0.21516","0.14056","0.05866","1.14611","0.4451","0.15433","0.024951","0.008317","0.024951","0.008317","0.024951","0.008317","0.024951","0.008317"
"19","14541.51","1.40523","0.37953","0.20474","0.25799","0.24663","0.16921","0.08084","1.08465","0.47853","0.13631","0.024654","0.008218","0.024654","0.008218","0.024654","0.008218","0.024654","0.008218"
"20","14779.73","1.41754","0.37414","0.20069","0.2471","0.22327","0.14939","0.06174","1.14494","0.45811","0.14698","0.024357","0.008119","0.024357","0.008119","0.024357","0.008119","0.024357","0.008119"
"21","15012.56","1.37538","0.38503","0.1931","0.26421","0.24206","0.1652","0.07714","1.10265","0.45661","0.12879","0.02406","0.00802","0.02406","0.00802","0.02406","0.00802","0.02406","0.00802"
"22","15247.07","1.36113","0.38733","0.18901","0.2683","0.2687","0.18749","0.09648","1.00535","0.49715","0.11613","0.023763","0.007921","0.023763","0.007921","0.023763","0.007921","0.023763","0.007921"
"23","15476.76","1.33774","0.39472","0.1769","0.29205","0.2557","0.18795","0.0921","1.05575","0.47435","0.12384","0.023466","0.007822","0.023466","0.007822","0.023466","0.007822","0.023466","0.007822"
"24","15712.52","1.34245","0.39576","0.18267","0.28282","0.25929","0.18172","0.08087","1.07032","0.47933","0.11888","0.023169","0.007723","0.023169","0.007723","0.023169","0.007723","0.023169","0.007723"
"25","15947.67","1.32395","0.39705","0.17674","0.30415","0.26887","0.20466","0.10443","0.985","0.48969","0.11412","0.022872","0.007624","0.022872","0.007624","0.022872","0.007624","0.022872","0.007624"
"26","16180.37","1.3683","0.3759","0.17687","0.29581","0.2574","0.18908","0.08891","1.04399","0.47536","0.11979","0.022575","0.007525","0.022575","0.007525","0.022575","0.007525","0.022575","0.007525"
"27","16420.78","1.37791","0.37684","0.18568","0.30384","0.2625","0.20148","0.09762","1.03348","0.46918","0.12231","0.022278","0.007426","0.022278","0.007426","0.022278","0.007426","0.022278","0.007426"
"28","16663","1.35807","0.38086","0.18044","0.30487","0.28617","0.21097","0.10734","0.99116","0.48929","0.11413","0.021981","0.007327","0.021981","0.007327","0.021981","0.007327","0.021981","0.007327"
"29","16900.89","1.31239","0.39781","0.16909","0.29465","0.27943","0.20674","0.10266","1.02224","0.47632","0.11189","0.021684","0.007228","0.021684","0.007228","0.021684","0.007228","0.021684","0.007228"
"30","17130.46","1.39988","0.36042","0.18753","0.31092","0.27546","0.21381","0.0975","1.02019","0.48821","0.11591","0.021387","0.007129","0.021387","0.007129","0.021387","0.007129","0.021387","0.007129"
"31","17357.82","1.29266","0.39988","0.1667","0.31001","0.28613","0.21956","0.10749","1.00978","0.4736","0.11503","0.02109","0.00703","0.02109","0.00703","0.02109","0.00703","0.02109","0.00703"
"32","17588.41","1.29244","0.40055","0.16559","0.31633","0.28314","0.21895","0.11489","0.98438","0.48077","0.11244","0.020793","0.006931","0.020793","0.006931","0.020793","0.006931","0.020793","0.006931"
"33","17824.27","1.26514","0.40797","0.15964","0.25778","0.22573","0.15978","0.07046","1.1457","0.43974","0.12411","0.020496","0.006832","0.020496","0.006832","0.020496","0.006832","0.020496","0.006832"
"34","18044.94","1.35456","0.37535","0.1799","0.31553","0.2896","0.22375","0.10981","0.97629","0.50125","0.10691","0.020199","0.006733","0.020199","0.006733","0.020199","0.006733","0.020199","0.006733"
"35","18268.24","1.24812","0.41422","0.1531","0.34387","0.31567","0.25195","0.13385","0.91025","0.51248","0.10023","0.019902","0.006634","0.019902","0.006634","0.019902","0.006634","0.019902","0.006634"
"36","18493.45","1.25568","0.40227","0.15435","0.32931","0.28698","0.22537","0.10163","1.02995","0.47315","0.11611","0.019605","0.006535","0.019605","0.006535","0.019605","0.006535","0.019605","0.006535"
"37","18716.58","1.2289","0.41193","0.14921","0.36325","0.32076","0.2687","0.13942","0.89357","0.51415","0.09809","0.019308","0.006436","0.019308","0.006436","0.019308","0.006436","0.019308","0.006436"
"38","18950.34","1.24358","0.40769","0.15092","0.33006","0.29006","0.22104","0.10952","0.99581","0.4797","0.10646","0.019011","0.006337","0.019011","0.006337","0.019011","0.006337","0.019011","0.006337"
"39","19179.02","1.56472","0.30076","0.20933","0.19673","0.15731","0.08488","0.0257","1.37721","0.34439","0.18757","0.018714","0.006238","0.018714","0.006238","0.018714","0.006238","0.018714","0.006238"
"40","19414.15","1.37073","0.36438","0.18063","0.32659","0.29569","0.22992","0.11232","0.99035","0.46956","0.10876","0.018417","0.006139","0.018417","0.006139","0.018417","0.006139","0.018417","0.006139"
"41","19644.56","1.50604","0.3188","0.20711","0.27672","0.21324","0.15244","0.06253","1.22787","0.38168","0.1417","0.01812","0.00604","0.01812","0.00604","0.01812","0.00604","0.01812","0.00604"
"42","19879.85","1.35503","0.37163","0.17367","0.34335","0.30515","0.24181","0.12435","0.93095","0.50021","0.09818","0.017823","0.005941","0.017823","0.005941","0.017823","0.005941","0.017823","0.005941"
"43","20115.14","1.18306","0.42325","0.14133","0.37989","0.33863","0.28299","0.1539","0.86371","0.5194","0.09372","0.017526","0.005842","0.017526","0.005842","0.017526","0.005842","0.017526","0.005842"
"44","20338.7","1.18105","0.41891","0.13829","0.3853","0.33772","0.28291","0.15095","0.87772","0.50561","0.09269","0.017229","0.005743","0.017229","0.005743","0.017229","0.005743","0.017229","0.005743"
"45","20569.76","1.24014","0.39743","0.14454","0.37631","0.33588","0.27877","0.14701","0.89998","0.49345","0.09567","0.016932","0.005644","0.016932","0.005644","0.016932","0.005644","0.016932","0.005644"
"46","20797.58","1.20326","0.40996","0.14073","0.39381","0.33078","0.27921","0.14609","0.92774","0.48362","0.09834","0.016635","0.005545","0.016635","0.005545","0.016635","0.005545","0.016635","0.005545"
"47","21018.29","1.1734","0.42012","0.1346","0.37805","0.31824","0.26527","0.11516","0.98519","0.48725","0.0991","0.016338","0.005446","0.016338","0.005446","0.016338","0.005446","0.016338","0.005446"
"48","21245.03","1.36463","0.35653","0.16448","0.33298","0.27315","0.21384","0.10924","1.06237","0.44695","0.10355","0.016041","0.005347","0.016041","0.005347","0.016041","0.005347","0.016041","0.005347"
"49","21470.84","1.53754","0.30812","0.19494","0.21734","0.19141","0.12918","0.05368","1.34147","0.36016","0.12902","0.015744","0.005248","0.015744","0.005248","0.015744","0.005248","0.015744","0.005248"
"50","21688.91","1.5007","0.31514","0.18189","0.17158","0.14952","0.08561","0.03346","1.48118","0.31333","0.1479","0.015447","0.005149","0.015447","0.005149","0.015447","0.005149","0.015447","0.005149"
"51","21908.55","1.64065","0.28303","0.2149","0.32173","0.25725","0.1996","0.08714","1.15503","0.40998","0.12162","0.01515","0.00505","0.01515","0.00505","0.01515","0.00505","0.01515","0.00505"
"52","22122.09","1.24374","0.39042","0.14163","0.36618","0.32036","0.26342","0.13347","0.95642","0.46938","0.09821","0.014853","0.004951","0.014853","0.004951","0.014853","0.004951","0.014853","0.004951"
"53","22342.49","1.52241","0.3112","0.19673","0.28067","0.18137","0.1383","0.05895","1.45404","0.30466","0.15969","0.014556","0.004852","0.014556","0.004852","0.014556","0.004852","0.014556","0.004852"
"54","22567.3","1.55292","0.30929","0.20473","0.03812","0.02802","0.00793","0.00243","2.25338","0.15298","0.31403","0.014259","0.004753","0.014259","0.004753","0.014259","0.004753","0.014259","0.004753"
"55","22786.3","1.56141","0.29922","0.19941","0.37099","0.32486","0.26501","0.13318","0.95921","0.48229","0.09925","0.013962","0.004654","0.013962","0.004654","0.013962","0.004654","0.013962","0.004654"
"56","23007.2","1.52588","0.30801","0.18402","0.29078","0.21499","0.16078","0.06301","1.26455","0.38286","0.13349","0.013665","0.004555","0.013665","0.004555","0.013665","0.004555","0.013665","0.004555"
"57","23225.9","1.59169","0.28956","0.23254","0.3652","0.30567","0.25073","0.12754","0.98685","0.45867","0.10197","0.013368","0.004456","0.013368","0.004456","0.013368","0.004456","0.013368","0.004456"
"58","23441.9","1.11702","0.42292","0.12611","0.38746","0.34718","0.29064","0.14649","0.90488","0.49105","0.09032","0.013071","0.004357","0.013071","0.004357","0.013071","0.004357","0.013071","0.004357"
"59","23658.3","1.45932","0.32954","0.17542","0.34827","0.25703","0.20898","0.08887","1.21034","0.3865","0.12728","0.012774","0.004258","0.012774","0.004258","0.012774","0.004258","0.012774","0.004258"
"60","23877.5","1.55886","0.29302","0.19208","0.33321","0.24462","0.1943","0.08108","1.17243","0.39081","0.12519","0.012477","0.004159","0.012477","0.004159","0.012477","0.004159","0.012477","0.004159"
"61","24089.2","1.45627","0.3286","0.17084","0.10533","0.08226","0.04306","0.0144","1.71619","0.27351","0.17079","0.01218","0.00406","0.01218","0.00406","0.01218","0.00406","0.01218","0.00406"
"62","24305.5","1.35511","0.35305","0.16033","0.38096","0.33216","0.27889","0.13366","0.92793","0.48009","0.09025","0.011883","0.003961","0.011883","0.003961","0.011883","0.003961","0.011883","0.003961"
"63","24517.8","1.05817","0.43982","0.11703","0.42355","0.36811","0.32812","0.18313","0.81985","0.50706","0.08312","0.011586","0.003862","0.011586","0.003862","0.011586","0.003862","0.011586","0.003862"
"64","24737.7","1.09939","0.42805","0.12037","0.42442","0.36307","0.32407","0.17181","0.85944","0.49789","0.08344","0.011289","0.003763","0.011289","0.003763","0.011289","0.003763","0.011289","0.003763"
"65","24957.1","1.19608","0.4014","0.13291","0.29428","0.23162","0.17921","0.06837","1.18787","0.40825","0.10571","0.010992","0.003664","0.010992","0.003664","0.010992","0.003664","0.010992","0.003664"
"66","25167.7","1.40795","0.34513","0.15537","0.14044","0.12559","0.06915","0.0214","1.49484","0.32567","0.13651","0.010695","0.003565","0.010695","0.003565","0.010695","0.003565","0.010695","0.003565"
"67","25380.9","1.24783","0.38063","0.14022","0.42275","0.35351","0.30622","0.15751","0.90225","0.47725","0.08827","0.010398","0.003466","0.010398","0.003466","0.010398","0.003466","0.010398","0.003466"
"68","25596","1.41698","0.33688","0.15961","0.32843","0.2703","0.20978","0.08783","1.16219","0.40292","0.10704","0.010101","0.003367","0.010101","0.003367","0.010101","0.003367","0.010101","0.003367"
"69","25808.2","1.31877","0.36213","0.14299","0.33781","0.26243","0.21303","0.08719","1.19517","0.39661","0.10819","0.009804","0.003268","0.009804","0.003268","0.009804","0.003268","0.009804","0.003268"
"70","26021.5","1.52701","0.30688","0.17166","0.09796","0.07711","0.03926","0.01239","1.73559","0.26831","0.16997","0.009507","0.003169","0.009507","0.003169","0.009507","0.003169","0.009507","0.003169"
"71","26240.5","1.68299","0.26467","0.22505","0.33294","0.23629","0.19183","0.07887","1.2777","0.35978","0.13173","0.00921","0.00307","0.00921","0.00307","0.00921","0.00307","0.00921","0.00307"
"72","26453.5","1.44694","0.32487","0.16111","0.18251","0.15506","0.09376","0.03062","1.43317","0.32879","0.13886","0.008913","0.002971","0.008913","0.002971","0.008913","0.002971","0.008913","0.002971"
"73","26665.1","1.41516","0.33385","0.15704","0.23342","0.18753","0.12769","0.0451","1.36562","0.33965","0.13437","0.008616","0.002872","0.008616","0.002872","0.008616","0.002872","0.008616","0.002872"
"74","26874.4","1.58618","0.28771","0.1977","0.21914","0.14997","0.09961","0.04232","1.57062","0.28128","0.17226","0.008319","0.002773","0.008319","0.002773","0.008319","0.002773","0.008319","0.002773"
"75","27089.4","1.54387","0.29949","0.18975","0.21454","0.1641","0.10744","0.04054","1.45027","0.30764","0.1521","0.008022","0.002674","0.008022","0.002674","0.008022","0.002674","0.008022","0.002674"
"76","27299.8","1.33059","0.35747","0.14849","0.38141","0.29436","0.24655","0.11159","1.05861","0.43515","0.104","0.007725","0.002575","0.007725","0.002575","0.007725","0.002575","0.007725","0.002575"
"77","27507.5","1.01417","0.44617","0.1064","0.44329","0.38205","0.34166","0.18755","0.80617","0.51311","0.08124","0.007428","0.002476","0.007428","0.002476","0.007428","0.002476","0.007428","0.002476"
"78","27726.9","0.97481","0.45126","0.10454","0.45632","0.40504","0.36529","0.20712","0.76268","0.51642","0.07777","0.007131","0.002377","0.007131","0.002377","0.007131","0.002377","0.007131","0.002377"
"79","27930.1","1.04206","0.43268","0.10252","0.46003","0.39825","0.36426","0.19932","0.78167","0.51119","0.0784","0.006834","0.002278","0.006834","0.002278","0.006834","0.002278","0.006834","0.002278"
"80","28145.6","0.9338","0.45848","0.10203","0.47064","0.40829","0.37617","0.21199","0.75563","0.51463","0.07659","0.006537","0.002179","0.006537","0.002179","0.006537","0.002179","0.006537","0.002179"
"81","28357.1","0.90533","0.46523","0.09682","0.47848","0.41622","0.3866","0.2225","0.73722","0.51581","0.07507","0.00624","0.00208","0.00624","0.00208","0.00624","0.00208","0.00624","0.00208"
"82","28572.7","0.90946","0.46137","0.09933","0.48015","0.42015","0.38981","0.22569","0.7313","0.51584","0.07504","0.005943","0.001981","0.005943","0.001981","0.005943","0.001981","0.005943","0.001981"
"83","28778.9","0.91679","0.4615","0.09564","0.48243","0.4194","0.39111","0.22607","0.7318","0.51518","0.07451","0.005646","0.001882","0.005646","0.001882","0.005646","0.001882","0.005646","0.001882"
"84","28991.3","0.96752","0.4476","0.10029","0.48028","0.41684","0.3877","0.22293","0.74157","0.51347","0.07529","0.005349","0.001783","0.005349","0.001783","0.005349","0.001783","0.005349","0.001783"
"85","29202.5","1.04639","0.43361","0.11104","0.47127","0.40871","0.37772","0.21308","0.75721","0.51522","0.0769","0.005052","0.001684","0.005052","0.001684","0.005052","0.001684","0.005052","0.001684"
"86","29411.4","1.01826","0.44189","0.10699","0.4668","0.4114","0.37577","0.20957","0.7575","0.51853","0.07678","0.004755","0.001585","0.004755","0.001585","0.004755","0.001585","0.004755","0.001585"
"87","29616.3","0.9249","0.46333","0.096","0.47405","0.41369","0.38345","0.21924","0.73694","0.52117","0.07456","0.004458","0.001486","0.004458","0.001486","0.004458","0.001486","0.004458","0.001486"
"88","29828.3","0.90285","0.46224","0.09594","0.47931","0.42135","0.39193","0.22584","0.72708","0.51921","0.07411","0.004161","0.001387","0.004161","0.001387","0.004161","0.001387","0.004161","0.001387"
"89","30037","0.96872","0.44704","0.10139","0.48126","0.42009","0.392","0.22624","0.72961","0.51757","0.07462","0.003864","0.001288","0.003864","0.001288","0.003864","0.001288","0.003864","0.001288"
"90","30242","0.91395","0.45987","0.09595","0.47832","0.42423","0.39453","0.22717","0.72924","0.51769","0.07418","0.003567","0.001189","0.003567","0.001189","0.003567","0.001189","0.003567","0.001189"
"91","30406.9","0.77132","0.48786","0.06985","0.48519","0.42756","0.39916","0.2297","0.72542","0.51653","0.07392","0.00327","0.00109","0.00327","0.00109","0.00327","0.00109","0.00327","0.00109"
"92","30572.6","0.75933","0.48887","0.0687","0.497","0.42461","0.40107","0.23209","0.72343","0.51627","0.07412","0.002973","0.000991","0.002973","0.000991","0.002973","0.000991","0.002973","0.000991"
"93","30737.8","0.76185","0.4874","0.06751","0.49753","0.43035","0.40581","0.23511","0.71971","0.5163","0.07368","0.002676","0.000892","0.002676","0.000892","0.002676","0.000892","0.002676","0.000892"
"94","30902.5","0.75512","0.4863","0.06672","0.50105","0.43022","0.40856","0.23734","0.71642","0.51603","0.07334","0.002379","0.000793","0.002379","0.000793","0.002379","0.000793","0.002379","0.000793"
"95","31069.3","0.74947","0.48707","0.0668","0.50476","0.43019","0.41054","0.23841","0.715","0.51516","0.07303","0.002082","0.000694","0.002082","0.000694","0.002082","0.000694","0.002082","0.000694"
"96","31233.8","0.74874","0.48722","0.06665","0.50866","0.43092","0.41175","0.23968","0.71244","0.51582","0.07259","0.001785","0.000595","0.001785","0.000595","0.001785","0.000595","0.001785","0.000595"
"97","31398.4","0.74707","0.48689","0.0661","0.51191","0.42962","0.412","0.24032","0.71084","0.51601","0.07284","0.001488","0.000496","0.001488","0.000496","0.001488","0.000496","0.001488","0.000496"
"98","31563.3","0.74379","0.48661","0.06572","0.5084","0.436","0.41345","0.24127","0.70977","0.51555","0.07279","0.001191","0.000397","0.001191","0.000397","0.001191","0.000397","0.001191","0.000397"
"99","31729","0.73865","0.48747","0.06552","0.50916","0.43554","0.41349","0.24126","0.71023","0.5151","0.07296","0.000894","0.000298","0.000894","0.000298","0.000894","0.000298","0.000894","0.000298"
"100","31895","0.74267","0.48574","0.06633","0.51131","0.43493","0.41451","0.2417","0.70937","0.51532","0.07299","0.000597","0.000199","0.000597","0.000199","0.000597","0.000199","0.000597","0.000199"
