epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,train/ioqc_comp_loss,train/ioqc_align_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,val/ioqc_comp_loss,val/ioqc_align_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2272.33,2.38559,0.45261,0.95886,0.31074,1.97913,0.50284,0.0055,0.0003,5e-05,2.29657,0.12655,0.7597,0,0,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,4340.13,2.29576,0.13813,0.80031,0.56475,1.72523,0.01943,0.0452,0.00504,0.00141,1.80615,0.31965,0.49109,0,0,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659
3,6178.22,2.04457,0.22292,0.60304,0.73653,1.20808,0.14647,0.06131,0.01318,0.00485,1.73762,0.31672,0.45366,0,0,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796
4,7942.46,1.93735,0.25855,0.49523,0.70923,1.02764,0.13781,0.08277,0.01682,0.00602,1.63037,0.3612,0.30507,0,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,9630.3,1.81087,0.30247,0.39648,0.73736,0.82531,0.05154,0.09695,0.02514,0.00955,1.5208,0.3931,0.29554,0,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,11272.8,1.74735,0.31505,0.35807,0.74874,0.7452,0.07745,0.13545,0.03967,0.01462,1.41373,0.41819,0.22808,0,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,12796.1,1.66811,0.33672,0.30992,0.74773,0.63759,0.10072,0.13089,0.04978,0.01964,1.43465,0.3957,0.23259,0,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,14320,1.60495,0.35427,0.29119,0.7403,0.60886,0.11159,0.14046,0.06314,0.02874,1.33678,0.42589,0.20212,0,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,15786.7,1.58947,0.34538,0.27814,0.72909,0.57161,0.13489,0.1521,0.07317,0.03379,1.35682,0.41063,0.20656,0,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,17228.4,1.53297,0.36668,0.25804,0.7215,0.53712,0.14475,0.1926,0.08697,0.04147,1.25602,0.45303,0.18384,0,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,18668.2,1.54372,0.35289,0.25735,0.71327,0.54221,0.17197,0.18052,0.09851,0.04537,1.23932,0.43593,0.18557,0,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
