epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,train/vsf_local_loss,train/vsf_global_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,val/vsf_local_loss,val/vsf_global_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1770.53,2.36816,0.45289,0.94227,0.27185,0.10288,0.60289,0.00537,0.00022,4e-05,2.32442,0.12275,0.78765,0,0,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,3363.53,2.25699,0.16592,0.77671,0.26528,0.10582,0.2174,0.05137,0.00564,0.00188,1.81246,0.34318,0.49147,0,0,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659
3,4736.31,2.04201,0.2299,0.60253,0.20432,0.09238,0.02347,0.07238,0.01196,0.00467,1.71714,0.33707,0.44151,0,0,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796
4,6031.85,1.94607,0.25848,0.50384,0.13973,0.08156,0.1556,0.08519,0.01965,0.00697,1.63085,0.34471,0.32292,0,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,7238.08,1.80132,0.30525,0.39588,0.1046,0.07011,0.12707,0.05218,0.00938,0.00245,1.73785,0.26726,0.32944,0,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,8393.33,1.73526,0.31924,0.3489,0.08798,0.06607,0.09285,0.13381,0.04816,0.02064,1.4148,0.43273,0.24221,0,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,9441.62,1.67656,0.32579,0.31363,0.07655,0.05971,0.09675,0.14684,0.05116,0.02044,1.3988,0.41802,0.22149,0,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,10479.1,1.62854,0.3414,0.29384,0.07135,0.05766,0.11881,0.15078,0.05972,0.02662,1.36129,0.43331,0.20924,0,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,11488.4,1.57854,0.35674,0.27324,0.06582,0.05504,0.13392,0.14622,0.06802,0.03143,1.33328,0.4255,0.19755,0,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,12467.8,1.53173,0.36725,0.25872,0.06115,0.05468,0.15438,0.18402,0.09323,0.04381,1.20945,0.47246,0.16909,0,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,13439.1,1.52586,0.36264,0.2546,0.05924,0.05432,0.17505,0.18307,0.10102,0.04604,1.2416,0.45131,0.18002,0,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,14372.9,1.50781,0.3611,0.23731,0.05625,0.05433,0.17063,0.193,0.09771,0.0429,1.21346,0.45395,0.16709,0,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,15291.2,1.54861,0.33504,0.25127,0.05425,0.05074,0.18359,0.1967,0.10977,0.04862,1.18233,0.45526,0.16197,0,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,16210.3,1.49403,0.36073,0.23096,0.0521,0.05128,0.20555,0.22041,0.12403,0.05538,1.14665,0.46967,0.15334,0,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,17112.1,1.46447,0.36451,0.21628,0.04947,0.04959,0.2044,0.21799,0.12388,0.05541,1.16447,0.45558,0.15181,0,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,18026.9,1.4891,0.35211,0.22364,0.04913,0.05167,0.2215,0.20601,0.12782,0.05208,1.16967,0.45843,0.14788,0,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,18960.2,1.45657,0.36809,0.21964,0.04783,0.04861,0.21464,0.2299,0.1413,0.06625,1.11555,0.47518,0.14293,0,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,19848.6,1.41021,0.381,0.20174,0.04713,0.04827,0.23781,0.24115,0.15494,0.07424,1.08104,0.47794,0.12637,0,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,20698.4,1.41129,0.37644,0.20266,0.0453,0.04902,0.20095,0.19626,0.11326,0.04323,1.22819,0.4202,0.16047,0,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,21563.5,1.39681,0.38211,0.20162,0.04551,0.04765,0.25691,0.2457,0.16191,0.07681,1.05248,0.4965,0.12866,0,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,22429.2,1.37529,0.38641,0.19095,0.04392,0.0442,0.24486,0.25542,0.16505,0.07753,1.07603,0.47163,0.1256,0,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,23313.6,1.44349,0.35591,0.19696,0.04275,0.04649,0.25965,0.24508,0.16969,0.07606,1.10289,0.46854,0.1259,0,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,24152.9,1.44102,0.35627,0.2027,0.04468,0.04934,0.25752,0.23404,0.15706,0.07455,1.10041,0.46592,0.13556,0,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,24995.1,1.4447,0.35332,0.19872,0.04249,0.04558,0.25771,0.2139,0.14431,0.06254,1.17345,0.43043,0.13031,0,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,25833.4,1.44849,0.3537,0.20278,0.04321,0.04468,0.26775,0.23416,0.16288,0.07348,1.09805,0.46379,0.12487,0,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,26661,1.41147,0.3619,0.18949,0.04136,0.04347,0.21339,0.15855,0.10881,0.05109,1.40203,0.34364,0.16402,0,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,27539.4,1.46088,0.34411,0.20588,0.04118,0.04373,0.23386,0.19762,0.12922,0.05565,1.26871,0.40042,0.13445,0,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,28407.7,1.65683,0.28772,0.25374,0.04605,0.04629,0.20937,0.19044,0.11406,0.04448,1.23511,0.41375,0.16121,0,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,29267.2,1.32351,0.39288,0.18218,0.04209,0.04482,0.29689,0.27698,0.20375,0.10452,0.99602,0.48622,0.10976,0,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,30096.1,1.32711,0.39146,0.17027,0.03856,0.04199,0.32887,0.29904,0.23149,0.11624,0.9496,0.50667,0.1047,0,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,30936,1.302,0.39898,0.17022,0.03802,0.03978,0.31283,0.29513,0.21957,0.1111,0.96044,0.50207,0.10154,0,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,31772.1,1.27259,0.40432,0.1611,0.03692,0.03976,0.32108,0.29588,0.22968,0.10037,1.00416,0.49225,0.10548,0,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,32593.6,1.35734,0.37412,0.17148,0.03707,0.03962,0.32688,0.26964,0.20836,0.09967,1.01368,0.47801,0.11733,0,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,33431.9,1.34721,0.37261,0.17102,0.03776,0.03878,0.29818,0.2737,0.19916,0.09869,1.01889,0.48217,0.11682,0,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,34278.8,1.42892,0.34912,0.19389,0.03797,0.03838,0.27715,0.23616,0.16673,0.0668,1.15165,0.4322,0.12583,0,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,35066.2,1.47605,0.33047,0.19149,0.03769,0.03978,0.20611,0.16837,0.10435,0.04085,1.33688,0.35698,0.14709,0,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,35879.6,1.58144,0.30324,0.21472,0.03736,0.03911,0.27357,0.24328,0.16858,0.06822,1.14417,0.43064,0.12464,0,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
