epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,170.912,2.31731,1.3144,0.86956,0,0.00239,0,0,2.00253,1.43159,1.9557,0.00987654,0.00329218,0.00987654,0.00329218,0.00987654,0.00329218,0.00987654,0.00329218
2,340.88,2.33478,0.35942,0.94042,0.00058,0.00372,0,0,2.35538,0.23812,1.14041,0.019483,0.00649433,0.019483,0.00649433,0.019483,0.00649433,0.019483,0.00649433
3,543.843,2.4523,0.09493,1.15404,0.00028,0.00119,0,0,2.25202,0.08098,1.47544,0.0286934,0.00956448,0.0286934,0.00956448,0.0286934,0.00956448,0.0286934,0.00956448
4,745.391,2.52312,0.06238,1.25492,0.00022,0.00131,0,0,2.17726,0.06348,1.39996,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,958.022,2.55283,0.06725,1.12643,0.0003,0.00289,1e-05,0,2.50454,0.07838,0.84229,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1155.08,2.5526,0.07933,0.9998,0.00041,0.00416,2e-05,0,2.40984,0.09183,0.92161,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1345.51,2.35398,0.0678,1.09378,0.00073,0.0054,3e-05,1e-05,2.1132,0.09667,0.9666,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1530.65,2.30356,0.07815,1.01663,0.00038,0.0043,2e-05,0,2.27549,0.10362,0.76641,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1729.25,2.42706,0.07729,0.85787,0.00044,0.00454,4e-05,1e-05,2.38764,0.10092,0.73404,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2163.19,2.3475,0.0884,0.78562,0.00062,0.00618,6e-05,1e-05,2.2351,0.11426,0.73632,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2359.23,2.33547,0.09271,0.83403,0.00055,0.00499,7e-05,2e-05,2.29584,0.10753,0.76721,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2531.82,2.33338,0.0947,0.80208,0.0005,0.00525,7e-05,1e-05,2.28489,0.10699,0.73853,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2715.45,2.40076,0.08396,0.82844,0.00131,0.00641,7e-05,1e-05,2.2861,0.10887,0.80301,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2884.74,2.27667,0.09604,0.86211,0.00062,0.00554,0.00053,0.00016,2.31762,0.08351,0.8592,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3067.81,2.4024,0.07363,0.94417,0.00082,0.00629,0.00011,2e-05,2.24075,0.11043,0.74445,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3234.93,2.33125,0.10073,0.82186,0.40154,0.00493,0.00021,3e-05,2.21859,0.12851,0.66533,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
