epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,166.576,2.31465,1.30911,0.87228,1e-05,0.0005,0,0,2.00006,1.51849,1.9894,0.00987654,0.00329218,0.00987654,0.00329218,0.00987654,0.00329218,0.00987654,0.00329218
2,343.664,2.34753,0.33285,1.0093,0.00069,0.00151,0,0,2.57804,0.17406,1.37436,0.019483,0.00649433,0.019483,0.00649433,0.019483,0.00649433,0.019483,0.00649433
3,550.311,2.4859,0.08436,1.20141,0.00045,0.00315,1e-05,0,2.48754,0.07589,1.31589,0.0286934,0.00956448,0.0286934,0.00956448,0.0286934,0.00956448,0.0286934,0.00956448
4,754.746,2.57863,0.05839,1.25824,0.00026,0.00235,1e-05,0,2.50047,0.07023,0.99174,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,969.766,2.63704,0.06396,1.1269,0.00036,0.00311,1e-05,0,2.58587,0.08237,0.80146,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1156.61,2.53507,0.07541,1.01001,0.00058,0.00579,4e-05,1e-05,2.2239,0.09811,0.92941,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1352.04,2.34123,0.06158,1.17597,0.00052,0.00494,3e-05,0,2.21194,0.10022,0.85415,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1547.31,2.49667,0.07212,1.04839,0.00029,0.00261,1e-05,0,2.66294,0.07181,0.96867,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1743.92,2.50462,0.07595,0.87876,0.10056,0.00513,8e-05,1e-05,2.47013,0.09533,0.836,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1915.21,2.42258,0.08797,0.8446,0.00048,0.0049,3e-05,1e-05,2.40241,0.10315,0.74936,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2117.01,2.40074,0.0903,0.82599,0.00097,0.00829,8e-05,1e-05,2.26792,0.12129,0.74558,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2296.87,2.41338,0.08814,0.86302,0.00109,0.01038,0.00017,2e-05,2.25755,0.14284,0.74175,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2486.72,2.3725,0.09247,0.84742,0.301,0.00591,0.00032,6e-05,2.42257,0.10315,0.82703,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2665.84,2.36282,0.09789,0.85109,0.00092,0.00613,9e-05,2e-05,2.40705,0.09599,0.80336,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2855.43,2.39197,0.09128,0.88806,0.20835,0.00914,0.00051,0.00012,2.22222,0.14054,0.74062,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3036.89,2.34294,0.10015,0.83875,0.20169,0.00706,0.00094,0.00022,2.2136,0.12191,0.68678,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3212.46,2.32046,0.11016,0.80483,0.40467,0.00954,0.00092,0.00021,2.10947,0.18842,0.6716,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3381.95,2.29555,0.1113,0.79319,0.4019,0.00394,0.0011,0.00026,2.3473,0.10889,0.70591,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3552.66,2.32202,0.10693,0.77306,0.0083,0.01218,0.00143,0.00034,2.12017,0.17952,0.67516,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3742.97,2.29189,0.11039,0.79502,0.40407,0.00327,0.00075,0.00012,2.31608,0.11121,0.72439,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
