epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1
1,412.923,0.72772,0.4857,0.06326,0.51173,0.4358,0.4145,0.24177,0.70939,0.51538,0.07293,0.0001,0.0001
2,823.619,0.7281,0.48573,0.06348,0.51136,0.4356,0.41441,0.24173,0.70939,0.51528,0.07293,0.0001,0.0001
3,1236.95,0.72569,0.48631,0.06322,0.51126,0.43534,0.41448,0.24174,0.70933,0.51532,0.07293,0.0001,0.0001
4,1651.36,0.72918,0.48462,0.0633,0.51136,0.43532,0.4144,0.24169,0.70939,0.51526,0.07296,0.0001,0.0001
5,2063.42,0.7294,0.48554,0.06318,0.51157,0.43586,0.41442,0.24169,0.7094,0.51532,0.07294,0.0001,0.0001
6,2475.8,0.72963,0.48408,0.06388,0.51134,0.43565,0.41445,0.24176,0.7094,0.51538,0.07294,0.0001,0.0001
7,2892.14,0.73061,0.48483,0.06355,0.51155,0.4357,0.4144,0.24172,0.70937,0.51532,0.07291,0.0001,0.0001
8,3301.9,0.73161,0.48469,0.06345,0.51135,0.43541,0.41448,0.24175,0.70922,0.51534,0.07291,0.0001,0.0001
9,3717.91,0.72999,0.48485,0.06347,0.51166,0.43576,0.41442,0.2417,0.7093,0.51534,0.0729,0.0001,0.0001
10,4142.59,0.73112,0.48527,0.06349,0.51127,0.43566,0.41446,0.24174,0.70926,0.51537,0.07292,0.0001,0.0001
